#{"t_start": 1769366409.6522465, "env_id": "CustomAnt-source-v5"}
r,l,t
-139.869454,112,0.15993
-102.218205,90,0.287152
-29.944511,22,0.317875
-61.494374,72,0.418315
-28.755692,21,0.447604
-272.394869,218,0.753077
-167.810339,137,0.943144
-611.956774,574,1.747664
-202.065725,123,1.919112
-49.422241,33,1.964963
-73.574642,72,2.065528
-473.644338,407,2.637129
-163.277546,137,2.828532
-89.701148,81,3.748249
-123.39281,72,3.848627
-62.781793,48,3.915814
-32.216995,39,3.969964
-90.453209,65,4.061094
-92.765567,53,4.134967
-25.37915,53,4.208718
-38.45051,65,4.300489
-29.43831,34,4.348125
-33.196545,33,4.394169
-4.230299,20,4.422211
-25.249913,16,4.444943
-12.086619,9,4.457754
-22.627099,14,4.477454
-30.724292,33,4.523424
-57.362511,53,4.597983
-1086.038926,1000,6.001002
-54.902931,31,6.044477
-92.771184,67,6.138039
-17.539923,45,6.201672
-101.807492,68,6.296823
-55.949678,70,6.394697
-10.053396,10,6.408773
-104.563185,126,7.412576
-135.748384,116,7.575579
3.556112,17,7.599322
-23.668053,16,7.621746
-27.20207,34,7.669138
-47.964019,39,7.723598
-84.11687,64,7.814409
13.559576,55,7.89108
-13.988157,22,7.921802
-133.529107,80,8.033193
-66.19547,55,8.110026
-7.260606,18,8.135291
-38.773833,39,8.191194
-28.277202,33,8.237463
-62.256519,43,8.29773
-125.061483,77,8.404763
-50.290968,28,8.443747
-49.41628,41,8.501491
-13.225183,25,8.536371
-105.479162,71,8.635134
-209.701245,127,8.811574
-36.055414,36,8.861889
-47.152697,71,8.960721
-30.783895,31,9.003905
-11.683809,18,9.029078
-55.525203,68,9.123767
-1062.080591,1000,11.355123
-17.108048,22,11.385978
-6.880532,15,11.406843
-12.673396,10,11.420894
-128.175689,88,11.543173
-220.650651,175,11.786435
-44.167156,41,11.844266
-12.566652,15,11.865291
-23.888358,27,11.902831
-31.711011,24,11.936342
-178.429425,117,12.098803
-12.896445,23,12.13068
-73.820674,57,12.209915
-68.045507,77,12.316929
-46.731341,30,12.358782
-16.289591,14,12.378366
-35.177361,27,12.416041
-46.810656,73,12.517348
-155.635096,98,12.654756
-19.50595,30,12.696846
-61.155667,74,12.799789
-75.948706,68,12.894337
-2.620304,11,12.909843
-117.469438,101,13.05028
-11.250615,23,13.082365
-8.149411,14,13.102043
-39.822216,23,13.134187
-17.418828,15,13.15522
5.488067,27,13.193001
-123.531803,121,13.361133
-37.430067,21,13.390576
-33.085302,40,13.446357
-38.431271,48,13.51315
-15.330317,23,13.54537
-18.838351,33,13.591747
-44.786458,37,13.643549
-61.275167,39,13.697848
-32.073629,49,13.766203
-2.459628,30,13.808081
-12.583719,28,13.847232
-112.30157,73,14.766918
-139.141082,100,14.906326
-39.779702,44,14.967369
-23.4112,11,14.982844
-1037.564353,1000,16.390776
-91.673206,77,16.498253
-36.209427,44,16.559719
-69.86016,79,16.670215
-64.585153,59,16.753742
-50.222847,58,16.834795
-18.734873,12,16.851711
-117.381493,104,16.995923
-16.641175,73,17.0978
-56.866804,118,17.261242
-118.53033,76,17.366741
-96.789355,88,17.49071
-55.46024,73,17.592572
-29.315487,17,18.440976
-45.467528,45,18.504381
-36.16375,34,18.552053
-39.405181,83,18.667342
-20.87596,14,18.687278
-79.764524,50,18.7572
-72.254278,64,18.846549
-23.428336,15,18.867684
-104.593702,102,19.009442
-18.149435,33,19.055692
-133.134387,104,19.200754
-161.646709,148,19.406541
-162.579752,112,19.564048
-43.017595,50,19.633808
-69.68229,70,19.731993
-9.731726,14,19.751756
-41.493448,36,19.801986
11.623838,47,19.867734
-10.739108,22,19.898436
-46.531585,42,19.95709
-32.523696,31,20.00037
-964.443411,1000,22.21796
-88.767734,84,22.335174
-31.278499,29,22.375534
-18.476584,14,22.395258
-15.859063,48,22.462506
-20.717921,25,22.497559
-51.716684,47,22.564179
-21.972767,29,22.604692
-19.295454,54,22.679742
-27.605981,17,22.703819
-27.732347,31,22.74752
-45.452219,62,22.834124
-18.354706,11,22.849532
-26.277598,30,22.891215
-40.002177,53,22.965028
-950.05644,1000,24.371062
-13.336035,33,24.417166
-34.204818,45,24.479714
-60.227212,28,24.518594
-46.711807,35,24.568369
-96.564499,88,24.690831
-32.741586,39,24.745185
-67.424445,102,24.887462
-36.785689,18,24.912709
-54.253772,50,24.982531
-124.243538,126,25.987566
-36.391551,31,26.030797
-54.824947,50,26.100537
-40.129637,39,26.154733
-53.361845,72,26.255986
-6.248266,11,26.271593
-867.763338,1000,27.671909
-26.707743,47,27.737617
-7.339922,38,27.790656
-21.624704,12,27.807735
-13.92874,15,27.828963
-99.228958,76,27.934608
-14.93351,11,27.950116
-40.980513,31,27.993338
-17.960099,29,28.033751
-44.924492,33,28.080284
-21.722875,19,28.106722
-78.405915,44,28.167868
-61.034235,32,28.21238
2.513833,18,28.237527
-15.651543,21,28.267046
-121.317811,119,28.432077
-31.798134,41,28.489093
-60.006768,61,28.575231
-153.455017,140,29.598222
-53.172442,29,29.638915
-86.927076,74,29.742018
-138.037138,70,29.84242
-59.635937,53,29.916274
-53.383747,55,29.993064
6.102133,42,30.051938
-54.901047,51,30.122914
-19.950666,21,30.152213
