#{"t_start": 1769416883.2883363, "env_id": "CustomHopper-source-v0"}
r,l,t
-1.777556,26,0.037009
11.813843,16,0.056161
14.877284,15,0.073893
20.304611,38,0.119702
10.849048,20,0.143579
10.10479,15,0.161526
8.684063,23,0.188984
8.414889,12,0.203157
49.729966,29,0.237627
5.156691,9,0.248179
4.395041,19,0.271055
38.616447,35,0.31324
11.152026,13,0.328569
15.151635,16,0.347701
9.565965,14,0.36409
2.028025,22,0.390337
19.301418,20,0.41417
9.883567,12,0.428327
7.457502,21,0.453407
28.832995,23,0.480886
7.772939,11,0.494333
6.787895,14,0.511094
14.208527,18,0.532517
17.601262,18,0.553787
7.18426,10,0.565631
7.662222,19,0.588402
6.307215,11,0.601481
7.001299,19,0.624264
12.349462,18,0.645668
9.122174,16,0.664588
28.909802,25,0.694671
93.886155,63,0.769518
6.048302,13,0.784991
11.805744,22,0.811269
10.017246,22,0.837765
6.909271,18,0.859239
11.070776,16,0.878604
19.583747,20,0.902899
8.94791,14,0.919857
5.501802,19,0.94255
8.506862,13,0.957871
13.702015,15,0.975871
8.288283,13,0.991099
3.577416,9,1.001691
7.260004,12,1.015802
12.080393,14,1.032591
26.541986,26,1.063493
9.361033,19,1.086186
6.416057,16,1.105544
2.239175,23,1.132993
28.292681,29,1.16789
3.681496,12,1.18232
6.117447,9,1.192971
20.842853,22,1.219131
7.290884,16,1.23822
2.945803,8,1.247629
4.719643,11,1.260787
9.138464,12,1.274909
16.104426,26,1.306453
6.497383,11,1.319355
120.659356,76,1.409769
23.365655,22,1.435809
3.4387,26,1.466791
11.243376,14,1.483626
9.158773,13,1.4989
18.87965,19,1.521458
54.150678,53,1.584542
15.941725,18,1.606025
2.937226,14,1.622785
5.783218,11,1.636544
6.038343,10,1.648522
20.190771,20,1.67223
8.392138,15,1.690389
31.403208,49,1.748726
8.850196,21,1.773773
6.040339,12,1.787674
2.214949,7,1.795895
8.056949,21,1.820975
7.411464,13,1.836333
13.266862,14,1.852791
5.43866,9,1.863426
24.404719,25,1.893251
3.368374,8,1.902845
10.629027,14,1.919887
20.454781,19,1.942552
8.867224,16,1.961572
20.207324,28,1.995064
5.222544,20,2.018816
22.12553,26,2.049868
6.070303,9,2.06067
8.895005,12,2.074805
22.232971,43,2.126473
4.255466,15,2.14435
9.961771,15,2.16205
32.358113,31,2.19894
5.360571,9,2.209493
4.586831,11,2.222497
7.859284,11,2.235451
7.044442,10,2.2472
10.784257,12,2.261567
79.147208,49,2.319531
4.559802,8,2.329024
5.076147,17,2.349349
8.726873,12,2.363347
9.770862,12,2.377403
17.003053,32,2.415729
5.581016,16,2.434916
114.782361,62,3.335727
63.694762,46,3.391171
12.301794,14,3.407951
17.957814,18,3.429255
38.3978,45,3.482699
7.228907,17,3.502924
8.962696,13,3.518402
17.618535,21,3.5434
209.982293,150,3.721354
19.463402,20,3.745088
81.553216,49,3.803148
36.28055,34,3.843493
5.52921,12,3.857648
77.872173,43,3.909125
32.26663,49,3.968446
76.663437,50,4.028322
12.854227,20,4.052255
51.611958,53,4.115331
28.812134,22,4.141892
7.182626,20,4.165782
7.468965,11,4.178749
99.93455,64,4.254678
47.923589,43,4.306086
13.867038,18,4.32778
14.962954,18,4.348961
64.690626,38,4.39422
