#{"t_start": 1769415266.1202857, "env_id": "CustomHopper-source-v0"}
r,l,t
7.414489,15,0.709215
6.950015,13,0.726458
48.160962,35,0.772901
18.052118,18,0.795911
6.648901,13,0.812902
4.044494,29,0.851415
8.511547,19,0.875293
6.706358,17,0.896945
9.425499,15,0.917652
8.545248,15,0.936517
4.159293,12,0.952291
22.689433,24,0.983848
14.201222,19,1.008103
6.660238,13,1.024834
7.970694,12,1.040334
21.399575,22,1.069886
7.991233,12,1.088065
8.181897,12,1.103717
9.536965,16,1.125856
5.178122,23,1.157502
6.553842,10,1.171736
11.208854,16,1.193685
9.504794,15,1.218217
23.943281,23,1.247543
14.920942,21,1.275254
3.827264,7,1.285497
5.264477,25,1.320616
5.324391,17,1.341076
5.004888,25,1.371123
8.271876,25,1.403813
7.773554,13,1.419173
5.639364,10,1.430979
6.235755,11,1.443838
10.520818,13,1.459255
51.811451,37,1.504099
3.298575,11,1.517477
8.647224,13,1.533004
8.145936,13,1.548482
35.285819,37,1.593421
8.447401,20,1.61898
11.985478,14,1.635762
5.880768,11,1.648773
20.45256,23,1.677783
4.841757,10,1.691519
12.283261,20,1.715887
14.179495,15,1.733696
10.742858,13,1.74909
5.215224,10,1.761069
14.201617,27,1.793246
3.610712,21,1.818362
13.20907,20,1.842268
15.080332,17,1.862538
6.772422,13,1.878027
4.776539,9,1.888634
6.345721,11,1.901528
26.504177,27,1.933629
8.604885,15,1.951422
1.813767,15,1.969125
6.607479,18,1.990528
34.688148,30,2.026185
9.673396,14,2.042869
22.586257,34,2.0837
11.65243,16,2.102646
5.549162,11,2.115876
6.951934,12,2.13031
7.837643,22,2.15792
10.378072,13,2.173271
4.301422,22,2.200664
7.488089,13,2.216678
5.202141,9,2.22734
8.631979,12,2.241354
25.371251,27,2.273724
8.744421,12,2.287716
5.8109,13,2.303212
14.810906,21,2.327867
59.923913,50,2.386636
3.714927,8,2.395929
5.661768,16,2.414909
8.168169,14,2.431405
12.828819,19,2.454002
8.421096,12,2.468168
5.558585,9,2.478702
3.766901,8,2.488245
8.004412,12,2.502501
10.415906,15,2.520226
6.840114,10,2.531955
3.900915,8,2.541324
5.080184,10,2.553162
24.03912,25,2.582826
9.730264,14,2.599483
3.4779,22,2.625814
10.285358,21,2.650878
33.928553,28,2.684095
8.612867,25,2.713784
5.837812,12,2.727817
10.344882,14,2.744461
11.302715,21,2.769036
8.087095,13,2.785112
18.046347,20,2.809104
12.48052,21,2.833885
9.95323,12,2.847831
17.209364,26,2.878501
11.10248,15,2.896158
18.005453,23,2.923493
5.134726,10,2.935101
4.861893,12,2.949374
19.944881,42,2.999931
7.192134,11,3.012812
10.031256,15,3.030548
6.005373,23,3.058204
25.716335,31,3.095527
8.061162,14,3.111893
35.518233,48,3.169317
13.563559,18,3.190233
4.404438,22,4.021232
78.54315,77,4.115032
4.466559,16,4.134475
127.613313,71,4.219751
2.60814,7,4.229093
64.461852,39,4.276522
86.3164,51,4.337378
18.220563,23,4.364986
14.613964,18,4.386686
46.485277,31,4.423227
12.884929,30,4.458984
6.040826,12,4.47344
14.970612,21,4.498661
21.884114,26,4.530413
20.266925,23,4.558299
3.4772,7,4.566687
122.287455,68,4.649927
15.833107,18,4.671427
73.282433,46,4.726456
12.420688,22,4.752821
10.953617,26,4.783854
6.077342,9,4.794437
7.72746,14,4.811184
36.577948,36,4.8548
14.47189,17,4.87494
139.788147,98,4.991507
4.657607,10,5.003279
32.225109,32,5.041469
8.289812,13,5.056985
4.202134,8,5.066435
24.88396,32,5.104183
144.451105,68,5.184525
17.572711,16,5.203683
6.768093,14,5.22037
12.048253,18,5.243296
49.151517,37,5.286686
26.956079,24,5.314654
11.793604,23,5.341683
44.202814,36,5.383322
5.837149,9,5.393778
67.701208,62,5.465809
32.643242,27,5.497301
46.225557,42,5.546648
28.150771,31,5.582867
26.031347,28,5.616041
6.556134,12,5.630311
7.318519,12,5.644228
111.478494,56,5.711795
94.544094,78,5.813286
14.944059,24,5.848301
12.211733,14,5.870545
63.595384,40,5.922442
5.41175,18,5.946875
24.672908,24,5.975988
80.019154,45,6.033449
6.557535,10,6.045638
22.735443,35,6.089533
7.921881,11,6.103567
9.39767,25,6.136071
146.323872,68,6.221929
5.788852,15,6.240719
22.857633,25,6.272935
20.33321,25,6.305096
22.086344,22,6.333963
19.028413,29,6.371185
10.448615,26,6.404387
17.950753,26,6.43722
39.952014,31,6.475201
12.628097,17,6.49572
33.434761,36,7.466965
127.582269,66,7.568605
107.305374,55,7.646153
10.042129,13,7.662897
42.128437,38,7.7092
12.898801,18,7.730676
75.841193,45,7.784643
10.408767,16,7.803895
9.205508,19,7.827097
56.888735,34,7.86861
5.627773,11,7.881598
32.521962,28,7.91513
6.162478,10,7.927772
60.793757,38,7.973208
82.526461,53,8.039025
76.240267,48,8.095784
91.902822,52,8.161392
71.960452,41,8.211266
52.065311,38,8.256486
7.726271,11,8.269423
11.252323,14,8.286852
99.951868,53,8.349863
21.135636,23,8.377274
104.415807,64,8.45378
22.326955,22,8.482534
9.354569,12,8.498121
123.183393,67,8.578087
17.288354,25,8.60923
6.546184,14,8.626113
128.138913,72,8.711916
4.699142,26,8.742657
154.0844,84,8.841912
86.404675,54,8.906476
72.251647,42,8.956492
22.275885,21,8.981452
14.335593,18,9.00323
11.626224,16,9.022153
87.211817,53,9.086682
32.172241,27,9.119014
113.894958,60,9.190843
15.253031,32,9.229558
4.806057,10,9.241442
40.991339,48,9.299282
59.268166,37,9.343082
34.887005,27,9.374847
5.373643,9,9.38541
60.615874,39,9.432897
7.42522,12,9.447237
23.273191,23,9.474567
11.340834,16,9.493849
103.749712,65,9.570988
5.165219,10,9.582725
8.520226,12,9.597219
25.115929,27,9.629926
7.301995,22,9.655952
12.460137,18,9.678303
10.700123,15,9.696096
84.755241,46,9.753026
23.578483,24,9.783226
10.181939,19,9.806309
3.268907,8,9.815841
17.803034,24,9.844444
11.40468,13,9.859884
16.838598,19,9.882818
81.429715,50,9.942133
205.03444,98,10.865834
103.824462,54,10.930264
153.087765,73,11.017718
10.058047,25,11.047738
115.84815,66,11.126983
60.038412,38,11.172588
152.126048,79,11.267628
84.594318,56,11.334974
17.205365,17,11.355927
11.915391,15,11.37392
140.442734,95,11.487127
111.360871,59,11.557612
138.421057,67,11.639622
40.661293,41,11.689556
104.134151,55,11.755606
132.217226,65,11.83197
114.60878,58,11.900266
77.255554,57,11.968267
80.334421,47,12.024618
117.187583,62,12.098932
48.314486,29,12.134292
9.602873,29,12.169634
244.331387,115,12.307737
40.202498,30,12.343468
115.553833,62,12.416638
31.393904,27,12.448874
34.86462,30,12.48455
77.509899,46,12.540515
106.204721,56,12.607265
67.962748,40,12.656998
66.602549,39,12.706617
24.130509,25,12.738863
92.902885,53,12.80725
117.622868,62,12.885773
16.954523,17,12.907428
72.373717,47,12.967295
38.765741,28,13.004689
15.834777,17,13.030488
91.573496,51,13.101163
138.051543,94,13.220625
252.825884,140,14.243411
133.03922,72,14.33186
151.593105,72,14.425207
15.261533,16,14.446495
92.226844,51,14.512727
138.456773,70,14.604573
32.50506,28,14.640244
137.909543,67,14.724487
89.958679,49,14.78655
109.293665,58,14.859152
182.184597,81,14.962744
38.4502,29,15.000143
130.81996,65,15.081431
167.637598,77,15.177401
84.030001,50,15.241212
72.742919,46,15.298182
50.782405,38,15.343705
194.26965,85,15.444944
84.609846,48,15.50225
164.283763,75,15.592149
63.926118,37,15.636893
69.078413,39,15.6836
224.530278,115,15.822546
206.021781,94,15.93469
81.199191,45,15.988299
49.168896,29,16.022934
27.142261,24,16.051839
11.121083,13,16.070029
23.244185,18,16.091644
80.311585,54,16.156017
118.159712,61,16.229793
207.030249,88,16.333935
156.185841,73,16.422389
197.06772,87,16.52787
211.26119,91,17.492936
57.601816,34,17.533887
109.938135,58,17.603413
204.512872,87,17.708365
100.709429,55,17.774793
83.718343,48,17.833099
132.618488,64,17.909106
