#{"t_start": 1769416081.1985152, "env_id": "CustomHopper-source-v0"}
r,l,t
66.311218,40,12.063292
115.971735,59,12.134862
199.348436,127,13.070524
140.940378,82,13.166264
110.517531,60,13.235071
15.87015,16,13.253859
84.579488,48,13.310065
50.449693,35,13.351503
142.155149,81,13.445527
234.388487,125,13.590102
156.014347,87,13.690175
127.7295,65,13.764798
14.323496,15,13.78238
132.694944,73,13.866723
221.138777,107,13.991223
12.745955,22,14.01691
52.610323,35,14.057485
196.771004,105,14.182242
198.752208,100,14.300514
126.424013,77,14.391015
117.221703,75,14.47914
151.996618,78,14.573234
45.907515,30,14.60901
194.901928,88,14.712749
71.541556,41,14.761049
100.333499,60,14.832176
53.759867,37,14.876047
130.993318,68,14.955813
80.580179,44,15.007695
64.390163,39,15.05386
62.259784,41,15.102567
218.659032,97,15.21973
109.761624,60,15.291121
180.723042,96,16.192532
70.105462,42,16.241658
130.223843,67,16.32193
165.057044,86,16.423712
260.498891,118,16.561915
48.983899,37,16.605666
199.052868,90,16.711749
153.852737,82,16.807675
131.018467,71,16.891724
124.028819,67,16.971228
232.142178,106,17.095441
192.857446,96,17.209724
239.664859,116,17.346335
106.779324,59,17.415259
241.696811,114,17.550467
239.881816,111,17.680676
196.385058,88,17.784131
55.147682,33,17.823321
186.902452,88,17.927516
62.13132,35,17.968903
144.830365,79,18.062111
233.445791,104,18.187171
71.699503,41,18.235785
23.434734,21,18.260871
16.753668,24,18.289582
133.650663,79,18.382616
28.290618,21,18.407543
46.083417,32,18.445433
200.183037,106,19.367011
138.514771,71,19.449762
119.337868,61,19.52027
104.549419,59,19.588311
173.871339,89,19.690551
213.719665,109,19.815683
226.433161,105,19.9379
192.487484,90,20.042059
143.080785,81,20.136069
117.646657,59,20.205924
55.073484,32,20.244076
174.278886,95,20.356128
149.824301,79,20.448223
78.949149,51,20.508981
208.035071,107,20.635687
112.651729,61,20.707794
211.208344,110,20.836514
69.052335,39,20.882671
251.297587,123,21.02712
45.277971,27,21.059139
219.533295,106,21.187304
54.412499,32,21.225549
227.139945,103,21.346195
231.732588,110,21.475345
45.633836,36,21.517796
204.592993,106,21.6422
99.831939,55,21.707853
255.005893,117,22.644193
144.56231,86,22.746465
232.236121,99,22.863136
202.098325,90,22.970585
198.19334,105,23.093208
194.873404,89,23.198467
94.173651,63,23.27347
236.160172,104,23.39651
188.235018,92,23.504182
186.63854,94,23.614831
210.462541,100,23.732421
63.806706,36,23.774932
211.515013,100,23.892152
68.174538,51,23.952138
210.962595,97,24.065467
179.412243,99,24.184301
62.782963,36,24.226518
238.124252,111,24.357296
214.275252,95,24.469062
198.215515,95,24.580682
211.100711,104,24.703884
84.232881,46,24.758976
215.851497,96,24.871065
241.363688,113,25.814667
219.312153,106,25.942099
239.268997,109,26.070039
188.820916,90,26.177869
211.36259,98,26.293741
262.301873,119,26.433929
124.339345,71,26.51895
94.224082,56,26.584789
160.703738,76,26.673908
239.733625,117,26.811558
69.872635,44,26.862521
231.635052,106,26.98634
212.504325,98,27.101476
252.468539,131,27.25724
247.032941,117,27.395553
188.675276,90,27.501325
321.101142,165,27.694759
309.867591,143,27.864282
115.082646,62,27.937416
254.602,136,28.096467
179.599132,92,28.204202
103.684142,60,29.096536
164.679154,86,29.198856
132.433707,67,29.277476
70.847106,49,29.334738
209.526289,101,29.453771
