#{"t_start": 1769360645.4995422, "env_id": "CustomAnt-source-v5"}
r,l,t
-115.041362,99,0.827928
-44.754238,63,0.9172
-62.178028,37,0.96987
-27.431009,52,1.043114
-150.005073,127,1.221597
-163.406336,149,1.437928
-18.373073,33,1.48438
-23.629988,31,1.530211
-29.272875,61,1.618355
-138.574653,135,1.807302
-20.305754,27,1.845499
-35.310038,22,1.878783
-63.022974,59,1.963284
-236.971952,153,2.177279
-87.922498,70,2.274701
-12.903108,15,2.295909
-25.445496,17,2.319606
-42.608063,37,2.371197
-137.576656,106,2.519023
-58.931931,28,2.558943
-126.20254,116,2.720674
-20.895481,17,2.74475
-22.726616,26,2.780967
-43.128324,35,2.82996
-101.834889,59,2.91309
-33.538449,31,2.957062
-67.645995,88,3.079984
-242.291376,229,3.399054
-16.816894,24,3.432446
-66.262769,44,3.493707
-22.054024,19,3.520254
-50.819293,45,4.405923
-6.241722,13,4.424509
-18.428672,24,4.458551
-57.952343,43,4.519078
-80.216179,73,4.622194
-32.786466,69,4.719258
-109.438438,66,4.811823
-25.054921,16,4.834676
-93.601187,70,4.933681
6.80789,53,5.008389
-1089.612133,1000,6.458957
-34.762299,23,6.491889
-50.320156,43,6.551912
-186.785228,186,6.81247
-10.390255,18,6.838298
-52.255435,32,6.884133
-60.219564,56,6.964561
15.053327,43,7.025533
-21.329025,13,7.04392
-32.745759,28,7.083167
-33.528778,44,7.145007
-59.485054,64,7.234737
-81.913713,61,7.319939
-1.328213,34,8.192821
-37.503658,39,8.247803
-113.837979,167,8.481097
-14.89155,17,8.505121
-92.802618,145,8.70827
-437.999593,453,9.349049
-14.892813,13,9.367379
-49.789016,64,9.457167
-54.05535,58,9.538415
-4.57826,12,9.555253
-1002.367686,1000,10.970535
-12.758826,12,10.987568
-4.922277,19,11.014459
-86.933011,53,11.920953
-4.475467,12,11.938347
-125.927927,126,12.114874
-24.730626,28,12.154527
-51.118339,47,12.220708
-16.802455,13,12.238978
-82.403738,113,12.398139
-91.417974,63,12.486721
-68.688745,94,12.61812
-35.633676,28,12.657601
-11.250823,25,12.692417
-36.77621,37,12.744408
-55.323169,81,12.858797
-10.739304,12,12.875697
-11.099436,34,12.923228
3.764457,31,12.966991
-2.097578,28,13.006318
-82.17843,77,13.113793
-19.560278,35,13.162979
-12.36931,48,13.230261
-19.284804,71,13.329493
-555.118371,534,14.085092
-320.668781,368,14.599707
-114.515506,113,15.562565
-26.060553,23,15.595037
-124.548738,167,15.829492
-2.316898,26,15.866612
-30.656729,42,15.926538
-135.122705,81,16.041162
-15.856123,34,16.089064
-22.741827,20,16.118032
-143.869177,208,16.409623
-19.877282,15,16.430878
-46.842068,32,16.475813
-0.271379,16,16.498194
-1.393652,16,16.520733
-20.445118,16,16.543373
-33.950401,36,16.593948
-38.797036,26,16.63056
-25.235647,54,16.706462
-54.084744,54,16.782217
