#{"t_start": 1769364521.5233939, "env_id": "CustomAnt-source-v5"}
r,l,t
-52.595891,49,0.072356
-20.505736,65,0.163236
-12.074627,16,0.185849
-1149.424923,1000,1.593928
-34.129991,22,1.625663
-61.663116,73,1.727752
-71.422805,135,1.915824
-101.388325,88,2.038492
-40.215272,36,2.088466
-33.731145,49,2.156636
-24.639079,38,2.209553
-52.292759,34,2.256874
-41.456771,69,2.352909
0.041382,73,2.45454
-35.779331,32,2.499063
-7.426026,11,2.514542
-43.483547,28,2.553749
-74.983151,84,2.67049
-76.72712,91,2.797206
-10.038148,81,3.744143
-28.954875,22,3.775009
-99.049668,60,3.859186
-73.213432,97,3.994946
-49.104955,36,4.045365
-107.082684,117,4.210964
-37.638811,26,4.247833
-31.171977,49,4.317547
-92.627204,140,4.519146
-15.90915,14,4.539046
-71.405615,39,4.593625
-13.840501,30,4.635724
-18.778684,20,4.663749
-15.995414,15,4.684815
-47.18279,40,4.741025
-6.850355,11,4.75652
-61.721792,49,4.825078
-42.901141,22,4.855855
-26.682716,26,4.892337
4.406928,31,4.936336
-32.909029,35,4.985179
-16.739397,49,5.053577
-59.353706,51,5.124998
-66.273623,79,5.236009
-15.921065,20,5.264619
-1072.94476,1000,7.504908
-16.099965,13,7.52352
-50.356765,47,7.589139
-3.781171,44,7.650996
-16.822094,32,7.695869
-996.272024,953,9.036179
-12.81615,24,9.069667
-59.030544,64,9.159634
-40.960736,99,9.299827
-31.77313,19,9.326742
-18.361749,29,9.368033
-88.723784,74,9.471667
-116.111223,106,9.619974
-90.859093,78,9.728998
-67.671923,34,9.776746
-1009.647193,1000,12.006865
-22.83186,25,12.042249
-11.10269,38,12.095154
-1020.522724,1000,13.496401
-30.199506,30,13.538601
-39.996961,27,13.576364
-73.741123,56,13.654342
-22.788684,21,13.683669
-30.902585,30,13.725598
-1.446437,8,13.7369
-105.933496,72,13.836857
-1067.386672,1000,16.071936
-39.74161,33,16.118188
-10.792593,16,16.140562
-22.941909,13,16.158927
-37.359155,32,16.203993
-389.21266,374,16.730374
-14.406755,29,16.771083
-18.148082,24,16.804815
-63.693832,99,16.944052
-164.230595,116,17.106183
