#{"t_start": 1769365483.0061824, "env_id": "CustomAnt-source-v5"}
r,l,t
-119.569779,86,0.123272
-134.71315,126,0.300714
-107.730678,97,0.436779
-120.186187,103,0.579394
-85.599135,58,0.658872
-62.083797,91,0.785031
-9.949416,28,0.823606
-6.943238,23,0.85526
-21.166981,28,0.89402
-33.484629,40,0.948664
-14.076736,18,0.973037
-65.617133,77,1.079397
-69.786087,46,1.142538
-70.997941,113,1.298627
-42.451854,33,1.344078
-49.74433,43,1.404415
-27.444191,59,1.487176
-71.359395,35,1.536863
-52.465734,62,1.623556
-11.710398,38,1.676555
-61.511643,56,1.7551
-57.151896,49,1.823473
-10.045694,14,1.843217
-64.215998,39,1.897783
-71.72688,48,1.965003
-53.113216,35,2.014207
-16.820897,36,2.065288
-21.669283,18,2.090751
-85.608113,115,2.252316
-11.206541,24,2.286279
-133.234911,146,2.490586
-153.864892,130,2.671882
-93.234466,88,2.795398
-64.896605,79,3.734803
-14.324981,21,3.764583
-53.082032,41,3.822004
-62.538333,48,3.889334
-19.609721,18,3.914659
0.555262,30,3.956638
-34.958544,32,4.001549
-1046.081196,1000,5.409006
-12.710236,18,5.434582
-9.151497,10,5.448761
-44.185138,49,5.517202
-37.836508,40,5.573247
-91.953127,50,5.646824
-20.506402,30,5.688861
-47.812948,63,5.778543
-1034.635331,1000,8.017101
-28.309438,52,8.090324
-28.928889,51,8.161958
-79.703187,61,8.247614
-123.741723,78,8.356579
-18.122338,31,8.400184
-52.946845,72,8.501076
-75.286452,49,8.57024
-24.288451,23,8.602562
-19.930112,27,8.640658
-72.754156,50,8.710803
-79.63743,71,8.810297
-59.329099,122,8.980764
-54.55737,36,9.031142
-15.570919,9,9.043891
-63.987987,38,9.097538
-109.364864,90,9.223619
-64.426191,40,9.279716
-34.685081,32,9.325082
1.532787,65,9.417981
-9.077514,12,9.434973
-73.926663,42,9.493753
-282.744782,182,9.748076
-52.49077,32,9.792808
-254.150744,248,10.145309
-71.335163,63,10.233518
-161.749184,116,11.219238
-27.293675,28,11.258661
-52.105252,51,11.330178
-45.213239,72,11.430408
-57.69518,37,11.482395
-44.912959,25,11.517326
-9.051908,20,11.545578
-41.801825,55,11.622848
-9.50548,15,11.645215
-943.942921,1000,13.053714
-43.054498,31,13.097629
-45.969076,90,13.223664
-3.657555,11,13.239234
-17.599197,61,13.325518
-64.953114,61,13.411528
-48.667833,50,13.481611
-31.537814,36,13.532326
-183.579509,133,13.718616
-26.388665,26,13.754959
3.088055,23,13.787615
-11.322622,17,13.81167
-68.034534,69,13.908624
