#{"t_start": 1769369290.6906557, "env_id": "CustomAnt-source-v5"}
r,l,t
-24.012959,21,0.033819
-607.167693,736,1.062493
0.132892,11,1.077894
-24.533098,34,1.125099
-30.784501,32,1.169602
-48.141277,48,1.236909
-28.319181,50,1.306893
-161.344063,93,1.436265
-173.188348,156,1.652546
-7.941798,21,1.68199
-20.0158,23,1.714435
-1143.522314,1000,3.93423
-39.504199,45,3.997302
-98.1479,66,4.0894
-22.643555,32,4.133891
-65.383632,23,4.166182
-24.679068,13,4.184496
-74.04283,43,4.244588
-33.203397,33,4.29052
-101.568486,70,4.388108
-27.436129,52,4.460987
-32.282818,31,4.504341
-31.926411,26,4.540507
-11.185873,23,4.572606
-15.492271,18,4.597914
-221.725256,193,4.867597
-57.899796,60,4.951304
-58.760647,53,5.024963
-56.586438,59,5.107205
-1009.71175,1000,6.510597
-7.660999,82,7.442991
-70.848494,74,7.547411
-102.621968,81,7.659998
-52.873302,60,7.743749
-42.590031,32,7.788433
-34.36868,21,7.817708
-19.196101,16,7.84017
-140.268891,129,8.019762
-74.503955,85,8.138479
-225.027755,98,8.275303
-46.308311,44,8.336569
-42.643198,27,8.375189
-13.389855,24,8.408863
-82.662548,78,8.517853
-73.581525,57,8.597335
-48.301358,38,8.650478
-10.019397,11,8.665762
3.523123,16,8.688203
-97.473483,57,8.76772
-44.493288,38,8.82068
-16.165406,48,8.887461
-16.983205,13,8.905704
-62.009422,47,8.971167
-1040.795317,1000,11.211188
-12.249599,12,11.22833
-10.952891,21,11.257955
-9.091045,33,11.304033
-21.846601,17,11.327896
-127.652582,149,11.534842
-220.981785,233,11.858627
-66.661297,112,12.014913
-22.824909,19,12.041631
-103.113925,90,12.16759
-50.247577,44,12.229046
-29.293129,20,12.257014
-19.683553,27,12.294752
-17.823925,15,12.315693
-1018.298564,1000,13.720832
-8.847483,57,13.800457
-65.996606,102,13.942523
-61.301398,68,14.841707
-63.192146,61,14.92689
-14.318267,48,14.99385
-35.322337,31,15.037408
-3.700251,10,15.051761
-9.483123,8,15.063126
-61.325809,52,15.135781
-8.34334,9,15.148561
-29.088535,23,15.181054
-22.912097,20,15.209218
-24.755059,14,15.229143
-16.638783,17,15.252882
-62.590145,39,15.307168
-947.755968,1000,16.714475
-47.999097,42,16.773237
-61.262811,98,16.910111
-63.958098,38,16.963358
-136.295199,102,17.105743
-33.490482,40,17.162279
-161.712791,127,17.339464
-78.019996,45,17.402069
-37.320165,30,17.443884
-31.156338,18,17.469222
-34.624587,24,17.503023
-14.636091,15,17.524106
-32.540943,26,17.560456
-151.543993,163,18.606454
-59.787016,71,18.705833
-21.471866,24,18.739762
-16.383353,22,18.770679
-31.273207,24,18.804074
-40.68328,90,18.929777
-22.548935,16,18.952202
-86.441027,55,19.02899
-16.875485,28,19.068303
-12.544074,15,19.089731
-65.058287,73,19.191223
-93.941355,54,19.266397
-90.612323,71,19.364991
-58.932445,47,19.43057
-35.17468,28,19.469852
-52.410299,143,19.668835
-57.546492,49,19.73735
-29.071616,26,19.773739
-93.003053,66,19.865486
-3.701994,30,19.908391
-58.825843,55,19.985169
-42.860012,111,20.141284
-163.252453,134,20.327733
-12.865809,10,20.341973
-12.38927,26,20.378479
-20.545154,29,20.418973
-150.40106,83,20.53443
-20.453718,28,20.573487
-23.145996,38,20.626337
-27.868601,21,20.655592
-69.703433,84,20.772833
-197.29477,171,21.011708
-103.497472,165,21.242451
-27.671157,23,21.27475
-53.187702,60,22.187328
-12.567294,27,22.225435
-63.643691,54,22.301216
-19.293935,38,22.35414
-19.355038,35,22.403512
-106.671194,72,22.50397
-18.692233,25,22.540298
-44.730483,28,22.580262
-90.341638,51,22.652156
-49.929828,52,22.725053
-16.486411,24,22.759352
-11.635238,13,22.777862
-34.783529,26,22.814438
-53.54188,99,22.953467
-41.312206,59,23.035586
-28.117292,39,23.090416
-26.036303,68,23.185729
-66.437189,46,23.250945
-47.363883,156,23.472028
-7.768696,10,23.486102
-52.16054,80,23.597607
-58.123176,27,23.635314
-66.053923,60,23.719104
-1.91113,32,23.76429
-17.901082,25,23.799262
-83.896204,68,23.894331
-53.728241,59,23.976695
-8.515501,11,23.992257
5.122743,61,24.077543
-28.913512,16,24.100074
-63.675835,88,24.224849
-67.968963,53,24.299628
-7.270857,13,24.318029
-86.728282,69,24.414131
-104.466198,80,24.526058
-47.794513,55,24.602838
-46.547842,31,24.646286
-33.456833,47,24.711984
-41.363818,25,24.746927
-41.029494,62,24.833554
-68.417143,44,24.895163
-182.418766,183,25.96082
-37.450759,30,26.002772
-23.61362,14,26.022792
-27.417191,48,26.08972
-63.190897,62,26.176013
-44.001602,43,26.236744
-10.138873,12,26.25379
-24.77335,34,26.301314
-22.04355,16,26.323705
-102.36508,112,26.479449
-7.999305,41,26.536523
-19.845721,46,26.600688
-25.850034,26,26.636926
-90.022466,75,26.741444
-12.14648,15,26.762524
-1047.914907,1000,28.166597
-26.264445,24,28.200487
-15.084838,20,28.22922
-17.596577,30,28.271011
-15.549296,53,28.345232
-22.037048,26,28.381804
-11.933764,41,28.438941
-227.280664,153,28.652027
-11.738486,15,28.673146
-15.355594,25,29.522658
-34.713073,54,29.597868
-53.12418,38,29.650798
-80.658664,62,29.737381
-59.837251,63,29.825347
-73.936868,53,29.899312
-27.470108,16,29.921712
-28.554813,25,29.956769
-5.106186,12,29.973684
-76.023524,91,30.100536
-47.052289,28,30.139663
-67.055958,59,30.222753
-34.602754,45,30.285983
-87.588509,54,30.361322
-984.477888,1000,31.764684
-39.869638,25,31.799834
-38.828422,60,31.883321
-94.676308,74,31.986895
-13.101426,74,32.090009
-21.750146,62,32.176581
-51.143104,51,32.247886
-47.011242,48,32.315149
-120.569579,77,33.230987
-16.39717,109,33.384074
-18.753818,35,33.432879
-58.575602,99,33.570796
-37.114421,52,33.643375
-37.870294,27,33.681139
-85.902337,54,33.756879
-30.285578,17,33.780979
-23.646973,27,33.818838
-40.196144,38,33.8718
-22.704258,68,33.967702
-37.044823,33,34.014191
-85.557288,76,34.120132
-23.255513,66,34.211862
-60.766396,49,34.280413
-8.527293,13,34.298708
-23.056675,44,34.360168
-55.412344,38,34.413446
-33.166886,39,34.467877
-70.014428,73,34.569816
-22.310445,35,34.618873
-31.275852,23,34.651174
-134.030072,138,34.843873
-68.47216,58,34.924905
-38.464509,29,34.965419
-17.153339,18,34.990837
-30.108132,24,35.024513
-22.246558,24,35.058201
-51.238736,53,35.132183
-26.590024,36,35.182524
-37.397185,36,35.233453
-9.196291,24,35.267464
-118.59875,174,35.510453
-169.818317,116,35.671648
-28.214692,33,35.718143
-36.137649,42,35.776919
-7.757074,26,35.813466
-17.84145,21,35.842889
-18.883767,18,35.868079
-72.14223,30,35.910142
-931.20287,1000,38.132457
-27.205749,33,38.178766
-935.126806,982,39.561193
-37.063442,45,39.624268
-26.680829,47,39.689997
-97.989499,64,40.605078
-28.165531,29,40.645848
-29.750902,17,40.669805
-71.499973,75,40.774935
-20.818043,13,40.793363
-14.06212,13,40.811621
-20.409878,24,40.845263
-13.567349,44,40.90663
-17.800086,22,40.937605
-942.766187,1000,42.349247
-907.38128,1000,44.577528
-21.338074,25,44.612778
-62.936921,69,44.708895
-210.619446,213,45.007461
-75.089905,59,45.090073
-152.795947,139,45.284701
-170.724605,192,45.555085
-32.018244,53,45.629332
-11.727193,8,45.640915
-11.437298,19,45.667767
-44.665229,43,45.728437
-21.404687,21,45.758199
-23.729192,26,45.794777
-106.764786,82,45.909086
-21.277542,15,45.93053
-8.839381,52,46.003293
-48.869776,37,46.055343
-15.024429,13,46.073721
-8.773745,21,46.103172
-18.348165,16,46.125875
-36.696205,32,46.17084
-42.272832,63,46.258906
-14.000076,13,46.277381
-35.132611,25,46.312497
-898.406154,1000,48.534593
-23.895992,91,48.662189
-60.706618,73,48.764254
-10.661559,16,48.787163
-39.688458,29,48.827912
-103.731969,106,48.976127
12.313978,61,49.061698
-8.571774,32,49.106716
