#{"t_start": 1769361645.37577, "env_id": "CustomAnt-source-v5"}
r,l,t
-93.073381,60,0.088817
-63.476071,58,0.169741
-61.038232,29,0.210635
-13.628768,61,0.295671
-179.133909,121,0.473207
-4.680346,53,0.547392
-1000.409303,1000,1.952652
-6.837282,33,1.99876
-40.533615,47,2.064286
-57.478389,40,2.119976
-30.965517,20,2.148286
-102.825941,65,2.23965
-22.135258,42,2.29785
-38.531486,22,2.328666
-116.550475,108,2.479106
-1024.57781,1000,4.74272
-62.732012,54,4.818376
-88.559789,73,4.920098
-24.544592,23,4.952217
-7.742495,23,4.98427
-40.303316,71,5.083518
-14.844805,12,5.100317
-57.320482,53,5.174464
-25.574124,19,5.201024
-19.486637,14,5.220622
-24.632653,41,5.277706
-83.051405,79,5.387576
-155.623197,96,5.520733
-49.055949,30,5.562672
-30.289949,21,5.59191
-30.888427,14,5.611644
-58.357628,33,5.657745
-43.385609,39,5.712381
-55.283729,50,5.782264
-292.73952,329,6.243479
-0.845063,15,6.264647
-146.640978,122,6.434224
-179.462135,229,7.573246
-23.649298,22,7.60425
-37.813076,34,7.651794
-30.619191,26,7.688405
-87.445136,94,7.819144
-44.289166,28,7.858302
-47.844427,65,7.948743
-79.55839,68,8.043691
-20.128571,85,8.162507
-90.780056,58,8.243511
-152.823844,158,8.46316
-27.454319,33,8.509249
-268.084606,171,8.747313
-27.297723,35,8.79615
-25.957979,21,8.825537
-27.449747,12,8.842468
-74.438849,71,8.941824
11.1668,28,8.981013
-91.843403,72,9.081122
-17.134688,16,9.103463
-100.989325,92,9.231476
-72.839365,101,9.372135
-42.863508,21,9.401361
-32.166709,62,9.487649
-36.294372,21,9.516971
-11.200396,31,9.560217
-8.182884,20,9.588291
-33.738308,40,9.644079
-18.59195,36,9.694248
-18.714831,23,9.726333
-51.794995,27,9.763867
-21.27053,41,9.821139
-128.813739,146,10.023778
-1036.422735,1000,12.248722
0.381844,28,12.288007
-31.191381,56,12.366058
-41.984345,77,12.473105
-274.314531,173,12.713955
-24.509641,22,12.744777
-50.322344,62,12.830973
-991.310319,1000,15.062721
-59.135521,36,15.113414
-173.720522,209,15.404733
0.513391,44,15.466177
-43.136476,49,15.5345
-40.076292,74,15.637759
-62.207579,52,15.710165
-61.265205,42,15.768633
-24.672157,38,15.821762
-18.302941,20,15.849704
-32.678739,58,15.930605
-22.667798,36,15.980841
-59.409959,51,16.052235
-1028.796512,1000,17.456139
-78.996199,105,17.602787
-16.946662,14,17.622586
-36.844573,49,18.513209
-11.394451,30,18.555204
-62.667134,50,18.625302
-64.372083,40,18.681444
-46.555659,86,18.801541
-2.425901,17,18.825333
-103.139746,80,18.936879
-43.453055,32,18.98163
-50.237817,36,19.031864
-61.378758,65,19.122593
-73.864211,102,19.264687
-85.003799,76,19.370552
-16.541922,16,19.392999
-63.822243,92,19.521114
-26.034823,14,19.540811
-24.012166,19,19.5674
-91.411939,81,19.680293
-24.582929,41,19.73765
-34.280945,38,19.790801
-117.744025,154,20.00543
-35.110248,29,20.04596
-38.635243,43,20.106028
-35.742546,28,20.144956
-90.554781,64,20.234121
-49.406787,82,20.348397
-140.624887,85,20.466586
-27.604733,26,20.502793
-122.643535,80,20.614128
-50.540103,22,20.644995
-18.721707,12,20.661808
-162.044255,79,20.771754
-31.092647,32,20.816548
-62.852407,53,20.890304
-44.608104,43,20.950212
-95.547168,152,21.161902
-23.312218,22,21.192755
-18.927177,42,21.251488
-42.388624,37,21.303347
-12.499909,29,21.343761
-12.303953,24,22.200194
-51.707897,56,22.278727
-106.958047,72,22.379359
-891.090902,1000,23.78422
-46.104603,45,23.847235
-77.666089,64,23.936584
-19.327144,25,23.971645
0.21059,28,24.010855
-88.199176,67,24.104471
-138.22983,83,24.220229
-62.063436,49,24.288562
-19.17104,25,24.323742
-105.591765,98,24.460597
-21.172705,27,24.498377
-48.272441,76,24.603989
-20.41508,45,24.666815
-51.461525,35,24.715697
-40.329236,48,24.782938
-7.419995,15,24.804058
-127.073653,89,24.928372
-57.917828,21,24.95762
-24.759811,14,24.977247
-101.465166,79,25.910349
-66.521156,78,26.019406
-351.353127,309,26.449249
-45.682498,35,26.497963
-86.431039,84,26.614856
-29.798435,23,26.647082
-173.356458,159,26.869048
-23.1093,20,26.8971
-23.319692,31,26.940409
-15.144259,15,26.961499
-10.104057,75,27.066257
-43.356492,36,27.116555
-33.049267,25,27.151615
-54.787999,72,27.252271
-32.078056,28,27.291392
2.221737,17,27.314944
-24.235253,40,27.370726
-29.927196,25,27.405831
-23.042569,23,27.438204
-83.588461,60,27.521873
-33.760954,39,27.576534
-6.063411,12,27.593389
-23.307158,34,27.641174
-30.823247,32,27.685618
-14.775851,14,27.705226
-27.55768,21,27.734541
-56.034993,44,27.795877
-26.020198,81,27.909063
-19.164565,60,27.992651
-52.91822,62,28.079745
-41.066845,29,28.120257
-115.790112,132,28.303674
-15.254856,16,28.326085
-57.339184,56,28.404258
-15.316158,13,28.422628
-77.15802,105,28.568793
-81.00368,92,28.697438
-113.097109,165,29.751412
-17.944837,13,29.769719
-62.863738,52,29.842752
-97.441427,53,29.916987
-27.33218,29,29.957699
-49.166458,88,30.080428
-104.552186,72,30.180567
-18.739784,12,30.197439
-169.431738,154,30.412956
-32.823454,54,30.488347
-43.478696,64,30.577438
-62.957707,160,30.800312
-35.479819,26,30.836528
-77.634245,60,30.920114
-92.102449,52,30.992431
-1000.186463,1000,32.397202
-112.178339,139,33.414167
-39.956404,38,33.467235
-24.904449,44,33.528541
-31.994859,46,33.592751
-23.612115,21,33.622234
-6.635635,29,33.662751
-54.586039,95,33.794888
-40.16579,34,33.842455
-61.48446,82,33.956846
-30.676102,42,34.015416
-26.783762,30,34.057205
-22.60951,24,34.090632
-17.06989,12,34.107752
-40.887106,35,34.156797
-104.73901,67,34.25023
-21.271793,13,34.268334
-23.929516,28,34.307423
-105.140977,64,34.396653
-81.354818,123,34.567698
-59.184821,49,34.63598
-116.037075,78,34.744478
-22.435654,22,34.775114
-949.08275,1000,37.006248
-10.421069,48,37.073632
-101.68276,100,37.219715
