#{"t_start": 1769421764.9958737, "env_id": "CustomHopper-source-v0"}
r,l,t
24.147915,24,0.032372
74.969623,51,0.093102
10.648694,16,0.112257
64.593524,37,0.156372
8.649869,15,0.174699
2.681096,11,0.187731
8.376132,12,0.201928
7.027278,13,0.217072
4.854985,10,0.228589
15.930645,18,0.249818
5.129956,9,0.260244
10.743749,14,0.276816
3.607409,16,0.295701
1.46642,6,0.302763
13.211496,23,0.330026
19.674679,32,0.36764
5.27469,9,0.378132
9.410319,16,0.397063
5.844687,9,0.407595
6.115932,10,0.419458
22.871974,21,0.443901
18.354956,17,0.463807
28.083724,44,0.515089
9.615163,15,0.532696
5.586838,13,0.547735
17.09053,25,0.577194
2.775743,9,0.587709
35.543287,40,0.636171
6.47989,13,0.651539
4.429646,9,0.662151
3.915872,10,0.674097
4.502467,12,0.688067
19.581687,17,0.70804
10.396965,13,0.722968
5.849734,15,0.740373
12.704475,15,0.757655
5.534722,12,0.771451
6.59921,13,0.786786
5.650512,11,0.799662
29.919612,24,0.827378
5.603922,10,0.838911
16.409646,19,0.861386
2.535869,7,0.869455
6.320936,18,0.890298
8.13768,26,0.920746
22.077135,25,0.949827
6.076447,12,0.963778
15.954953,19,0.985834
8.767451,12,0.999734
9.1355,17,1.019526
9.264547,13,1.034413
6.277612,13,1.049819
7.605032,22,1.075362
15.506041,17,1.095126
17.897117,19,1.130159
7.997895,13,1.152105
10.129584,20,1.176082
6.017253,14,1.19255
7.243865,12,1.206307
16.582974,18,1.227547
13.293484,28,1.259862
62.47989,43,1.309673
5.888802,12,1.323545
4.196659,9,1.334046
5.952413,12,1.348073
10.195054,15,1.365772
7.341968,13,1.380705
10.529916,15,1.398289
7.884933,13,1.413204
24.454563,43,1.463116
27.162944,23,1.489885
10.107296,15,1.507212
5.857439,9,1.517734
13.143649,20,1.541068
17.268401,18,1.562032
7.037787,16,1.580534
8.057445,24,1.608531
12.082045,20,1.632502
4.0434,12,1.646577
3.673866,8,1.656132
6.590029,13,1.671238
10.001264,18,1.692226
84.205339,48,1.747338
9.255895,13,1.762306
12.543748,15,1.779827
7.040162,11,1.792684
24.209049,30,1.828846
11.559477,14,1.845657
7.652046,14,1.862374
8.326304,16,1.881568
8.296376,11,1.894362
7.811659,21,1.919885
20.294328,22,1.946838
4.688955,9,1.957338
12.264673,32,1.994849
12.78963,16,2.013662
6.876264,14,2.030051
13.832178,18,2.051076
48.596916,38,2.095425
14.706687,19,2.117851
30.873714,31,2.15397
5.598117,10,2.165674
18.67569,21,2.190534
6.869668,11,2.203682
9.131481,12,2.217599
14.946812,18,2.238671
64.368618,39,2.284752
2.806314,9,2.295651
8.601231,16,2.314528
9.169399,14,2.331218
8.246812,14,2.348724
4.208971,9,2.359512
68.585042,68,3.244043
14.548143,16,3.263261
