#{"t_start": 1769417692.0588822, "env_id": "CustomHopper-source-v0"}
r,l,t
24.191822,24,0.124766
97.145699,61,0.198075
32.282068,25,0.229278
58.678157,43,0.28073
6.389819,13,0.296352
7.564183,14,0.313007
14.989133,26,0.3439
5.747496,10,0.356243
10.969286,14,0.373098
3.5459,16,0.392368
1.493072,6,0.399488
12.107563,22,0.426228
29.605591,34,0.467362
7.27405,10,0.479151
6.952311,13,0.494784
5.96094,10,0.506829
6.104197,10,0.518827
21.083258,20,0.542726
22.718749,21,0.568843
9.788889,33,0.609607
10.562879,14,0.626677
7.564423,11,0.639699
5.587306,12,0.653903
21.704975,26,0.685074
6.155223,11,0.698239
23.531216,34,0.739147
10.07861,15,0.757129
4.34421,9,0.767824
3.436669,10,0.780261
4.492578,12,0.794615
18.039154,16,0.813785
10.493672,13,0.829503
4.646522,15,0.847492
9.724537,14,0.864517
7.027063,13,0.879914
6.813475,11,0.89344
4.319183,10,0.905294
2.811332,7,0.913652
20.695247,20,0.937494
7.677202,12,0.951995
13.001769,17,0.972299
2.763612,7,0.980665
8.894987,20,1.004806
5.839731,19,1.027834
17.045324,26,1.059834
6.268095,15,1.078796
21.599953,26,1.11014
13.116757,17,1.130072
12.592003,17,1.149898
9.003857,12,1.163948
9.138979,21,1.188738
6.652377,12,1.202878
5.740031,10,1.214388
19.318932,20,1.238517
5.743918,11,1.251152
11.883802,21,1.276256
6.023019,14,1.292639
23.083265,23,1.31934
8.477098,22,1.344928
9.456443,13,1.360678
65.089982,44,1.412305
4.020615,10,1.424169
5.01126,11,1.436798
6.412889,12,1.450862
9.270761,15,1.468754
6.994555,12,1.482617
13.080858,17,1.502319
6.926684,11,1.515116
24.687137,43,1.568151
27.128092,23,1.596343
11.642178,16,1.615237
4.376074,8,1.624944
13.535926,20,1.648454
15.621956,17,1.668381
7.244933,16,1.687096
7.202075,25,1.716528
12.832218,26,1.747151
5.972471,9,1.757743
5.092332,11,1.770647
13.53213,22,1.799974
93.123074,49,1.858901
6.922047,12,1.873056
13.643994,17,1.892976
4.311214,9,1.903491
32.907501,36,1.945772
20.73451,19,1.968168
6.434766,13,1.983325
5.429314,9,1.994026
12.373374,14,2.010319
7.913689,19,2.033014
21.6725,22,2.05993
3.182743,7,2.068436
8.890428,33,2.107485
14.524207,17,2.12728
5.156922,12,2.141366
13.032181,19,2.163528
49.325714,38,2.208143
16.007564,20,2.231879
28.342109,27,2.263618
6.95128,13,2.278822
20.290095,22,2.30479
7.254213,11,2.317569
4.744185,8,2.326885
28.180577,27,2.358784
41.074803,30,2.393984
2.5085,9,2.404667
2.888378,10,2.416471
22.632446,23,2.443866
8.375237,14,2.460307
4.512947,9,2.470981
69.76337,67,3.36741
17.935713,17,3.38814
9.433364,13,3.403608
18.826543,20,3.427973
16.791207,27,3.460469
63.25859,50,3.520654
4.128234,8,3.530137
21.693394,34,3.570652
51.283747,45,3.624945
9.041574,12,3.639283
12.51323,23,3.666788
73.450996,43,3.717998
19.228673,20,3.742027
32.18,25,3.771673
7.727895,16,3.791514
14.066433,16,3.810371
37.250318,32,3.848958
7.699142,21,3.874253
26.438273,23,3.901632
7.297164,11,3.914523
11.930645,16,3.933549
9.026324,16,3.952478
26.927484,27,3.984822
19.739763,21,4.009896
5.707656,10,4.021961
15.576057,24,4.050818
12.007192,26,4.082006
23.21059,24,4.110849
9.760702,24,4.139697
23.223822,22,4.165919
11.969515,15,4.183912
2.926651,27,4.216366
32.242687,25,4.246821
22.56169,34,4.287661
3.701699,8,4.29711
12.083934,19,4.319798
35.518821,44,4.372432
8.728462,14,4.389117
76.284768,44,4.441788
12.873783,19,4.464507
10.054438,22,4.49096
38.594011,50,4.550923
7.685641,20,4.574878
24.952543,23,4.602441
86.680779,49,4.661194
6.919667,11,4.674158
18.019206,23,4.701626
23.199515,45,4.755562
8.659586,14,4.772135
6.463601,9,4.782954
19.642906,24,4.811511
46.422971,41,4.860738
24.319221,38,4.906173
29.434962,26,4.937212
22.716647,32,4.975491
11.505812,12,4.989962
12.800159,20,5.014058
6.145187,10,5.025959
6.320716,13,5.041567
38.625232,30,5.07708
24.667331,32,5.115499
16.511127,17,5.135882
10.044111,22,5.162161
5.537236,20,5.186145
9.485967,18,5.207893
23.176918,23,5.236486
35.181303,31,5.274248
61.136318,53,5.337687
41.914072,33,5.377299
20.115813,33,5.416889
43.540473,39,5.463817
21.49603,27,5.496392
91.580292,57,5.564636
10.498307,14,5.58137
14.275416,17,5.601686
12.572965,15,5.619789
4.939671,8,5.629261
11.919526,22,5.655936
8.930417,13,5.671638
139.433072,88,5.776387
13.368491,22,5.802898
41.681535,50,6.698904
116.551719,76,6.789473
28.830136,27,6.821852
13.080784,16,6.84128
44.155238,26,6.872576
27.873692,24,6.90144
19.464644,25,6.931393
7.849278,20,6.955531
92.040518,53,7.018652
25.783108,31,7.056033
92.920983,54,7.120038
5.87423,22,7.146538
83.88178,46,7.200844
33.117365,29,7.236145
96.931883,68,7.317641
14.847275,18,7.339279
5.00022,11,7.352466
51.627536,29,7.386877
36.57566,31,7.423641
75.879331,49,7.481837
9.047808,15,7.499957
36.678698,53,7.563528
16.079725,26,7.594879
7.859837,12,7.609784
61.944859,40,7.657822
232.429692,142,7.826513
29.421322,31,7.863706
116.917309,62,7.93689
67.470801,38,7.983454
13.964037,16,8.00273
60.489144,48,8.060083
40.678023,45,8.113739
70.11551,47,8.169887
54.739727,59,8.240482
90.312551,58,8.31119
20.753211,20,8.335072
92.84403,52,8.397746
7.759555,11,8.410647
85.176052,58,8.479197
16.28652,28,8.513412
38.300772,31,8.550661
8.247215,12,8.564959
5.85076,14,8.581753
86.380404,49,8.640668
4.512408,8,8.650495
8.045333,16,8.669878
8.127894,11,8.682948
18.954256,25,8.712758
59.891789,48,8.770478
20.992195,49,8.829331
12.067792,18,8.851046
19.871141,19,8.873936
7.403822,12,8.888177
4.762699,34,8.928781
68.394469,40,8.97639
6.645558,12,8.990745
39.818726,52,9.053385
12.566429,13,9.069036
28.846475,51,9.948473
122.292072,67,10.029213
63.240803,39,10.075997
86.028463,48,10.133196
121.34937,75,10.22387
136.189012,80,10.320131
18.968752,18,10.341895
171.165989,90,10.449497
43.822617,39,10.496237
15.146613,17,10.516715
112.425724,59,10.587646
175.280399,106,10.714463
101.422087,60,10.786779
19.195695,20,10.810893
89.468826,54,10.875853
206.397242,129,11.030532
123.364081,72,11.116294
125.001452,74,11.204167
62.18818,48,11.262378
108.039079,56,11.329515
18.548689,22,11.356064
59.24275,35,11.398021
21.465794,20,11.422136
40.080702,49,11.480973
17.819471,18,11.502702
71.685799,50,11.561994
13.451158,15,11.580407
94.216761,67,11.661396
82.137372,49,11.720495
33.742801,35,11.762675
54.971261,32,11.801328
92.285934,60,11.873294
131.048072,70,11.957932
85.544596,75,12.048023
119.553827,63,12.123887
93.510907,59,12.194865
9.24649,13,12.210529
183.594201,86,12.314293
31.14191,39,12.361302
132.832556,72,13.263331
60.30073,37,13.308817
68.485387,40,13.357995
110.157178,79,13.453425
118.907218,61,13.526473
169.91747,97,13.641968
78.81931,45,13.696127
11.661097,21,13.721385
153.562617,111,13.854963
126.197645,63,13.930075
62.563253,37,13.974625
113.099937,68,14.057958
141.65637,70,14.141667
38.422522,33,14.181459
106.869542,66,14.261258
64.817386,37,14.305552
14.816861,16,14.324558
192.096876,105,14.449566
105.304835,55,14.515462
72.043667,44,14.567747
52.107403,31,14.604941
103.315447,54,14.669864
58.168071,35,14.711997
70.057596,41,14.761046
87.313852,63,14.836739
81.80247,57,14.905063
34.811646,30,14.940928
82.781429,46,14.99593
183.892439,95,15.110267
83.947767,60,15.182355
124.504545,70,15.267071
93.898076,52,15.329607
119.902808,61,15.402564
121.659571,62,15.476284
76.453778,46,15.531606
71.081284,44,15.58424
76.351356,46,15.639529
108.129099,61,16.555808
58.785028,35,16.597563
111.814756,64,16.674104
67.080979,41,16.723291
30.893982,25,16.75331
99.055499,54,16.818178
196.661372,111,16.950945
209.747968,111,17.082979
121.872974,64,17.160967
114.209016,69,17.242932
102.882273,60,17.315261
154.096434,88,17.420428
58.914105,35,17.462482
85.579062,49,17.521211
83.604786,52,17.583342
49.444425,28,17.616922
80.069087,58,17.686704
164.85393,76,17.777675
135.21907,70,17.860915
104.500371,54,17.925111
63.47296,37,17.969623
67.442778,40,18.017681
108.07928,56,18.085145
48.118419,32,18.123478
134.869851,70,18.207829
171.292228,96,18.323799
167.860506,95,18.438028
94.929118,56,18.505373
66.761881,39,18.552236
63.766497,38,18.597704
159.563655,76,18.68845
76.806408,53,18.752616
67.149357,40,18.80072
171.79151,85,18.902225
73.481067,48,19.795987
102.996864,56,19.863214
107.647666,58,19.932818
129.955055,71,20.017226
37.269913,32,20.055644
203.570369,119,20.198146
112.357812,69,20.28157
161.555762,79,20.375924
180.510709,82,20.473641
184.477098,90,20.581124
91.602282,51,20.64199
192.770427,106,20.77058
94.136704,51,20.83166
95.243226,51,20.892905
212.149219,96,21.007873
177.046054,87,21.111856
195.415329,100,21.231915
153.883667,82,21.330128
132.27877,77,21.421423
135.213945,66,21.500091
91.115187,51,21.560713
210.119006,107,21.688602
189.275119,100,21.807909
58.950873,44,21.860118
92.29845,51,21.921278
124.803236,65,21.998433
82.397355,45,22.058362
87.072037,48,22.11818
106.2922,57,22.186899
219.12555,126,23.167965
76.512777,45,23.221738
52.962381,32,23.260603
223.706228,115,23.399675
161.631986,81,23.496785
86.309901,49,23.554934
162.391574,93,23.664865
236.982514,116,23.805329
187.276617,89,23.911623
62.861412,38,23.957335
86.999646,50,24.017126
136.227263,73,24.103823
202.005904,112,24.244836
136.106471,68,24.329267
122.645005,71,24.41431
78.313086,62,24.488951
129.125427,66,24.567623
185.854343,91,24.67667
162.619918,82,24.775052
240.22924,142,24.945046
161.112854,78,25.037534
203.897563,104,25.161854
245.294455,119,25.305876
70.943002,40,25.354343
145.546613,83,25.453951
140.023825,73,25.541164
100.70662,60,26.45075
118.722855,61,26.5244
138.769247,70,26.607523
214.686323,103,26.731739
212.789523,99,26.852769
131.46483,68,26.934227
120.239148,74,27.024334
236.571473,118,27.165651
211.855606,104,27.290808
221.303478,108,27.419916
154.393902,76,27.511027
131.511344,69,27.593492
175.100888,83,27.693436
57.828957,35,27.735535
153.199515,77,27.827559
93.30608,52,27.889691
215.474053,99,28.007353
120.570932,65,28.084855
179.453532,90,28.192081
238.991431,107,28.32134
151.019676,76,28.412292
193.711193,87,28.516464
190.461818,94,28.628444
228.736563,109,28.75985
254.508854,146,29.82339
227.596033,112,29.96796
213.611711,107,30.104323
215.263024,99,30.22953
84.277364,49,30.292428
206.668838,104,30.423098
