#{"t_start": 1769363565.8611612, "env_id": "CustomAnt-source-v5"}
r,l,t
-88.051127,71,0.19364
-44.304695,36,0.243981
-118.36609,77,0.351855
-104.373767,81,0.465101
-95.754092,54,0.540672
-55.638249,43,0.600685
-65.249374,41,0.657878
-52.699913,33,0.704138
-20.274467,15,0.725232
-35.925152,29,0.765884
-47.94317,37,0.81782
-27.430435,32,0.862855
9.204974,57,0.942376
-19.952421,28,0.981557
-17.016088,23,1.013678
-1011.784811,1000,2.431228
-72.677533,76,2.537796
-64.548031,49,2.606283
-138.773932,135,2.794663
-37.148867,42,2.853723
-66.799865,59,2.936316
-20.877392,44,3.821919
-15.378868,12,3.838936
-39.417264,30,3.881057
-161.816233,125,4.055639
-83.11725,65,4.146702
-51.837724,40,4.202557
-48.034396,34,4.250088
-28.590689,22,4.28107
-27.569698,23,4.313421
-21.837751,17,4.337188
-43.079021,25,4.372067
-39.104717,34,4.419836
-46.109649,36,4.470284
-1053.24116,1000,5.879504
-5.801889,24,5.913273
-93.230205,89,6.037652
-318.496033,347,6.522043
-151.144623,102,6.664975
-15.997757,11,7.497147
-24.180078,31,7.541891
-27.376257,62,7.629221
-29.084167,15,7.650348
-58.352055,64,7.739774
-19.436107,16,7.762277
-13.828093,13,7.780567
-78.851004,48,7.847355
-23.465175,24,7.881164
-14.249467,52,7.953824
-77.642361,135,8.142154
-35.917305,57,8.221821
-44.943789,58,8.302912
-20.219774,13,8.321256
-33.316825,43,8.381409
-427.378548,401,8.946714
-38.2827,46,9.011048
-20.178723,13,9.029263
-96.912369,90,9.154849
-204.288091,212,9.451079
-69.541727,66,9.543242
-95.713608,64,9.632548
-999.29987,1000,11.858459
-120.012082,117,12.022033
-47.332487,18,12.047358
-141.464053,125,12.221626
-39.109195,41,12.278803
-6.754383,18,12.304193
-126.682878,83,12.419946
-13.317693,11,12.435475
-114.255771,59,12.517678
-25.312587,38,12.570629
-46.233168,50,12.640515
-26.686507,38,12.693873
-0.96479,12,12.710859
-76.354853,35,12.759816
-59.426705,55,12.836303
-7.939116,20,12.864859
-18.575016,16,12.887349
-125.609676,166,13.118348
-96.76772,74,13.221621
-63.736855,32,13.26745
-21.596518,47,13.33321
-10.095342,35,13.382053
-31.419665,34,13.429585
-8.610775,15,13.450607
-84.691913,120,13.618183
-62.594994,84,13.735591
-19.280894,19,13.762247
-50.673417,70,13.860031
-69.556601,70,13.958129
-109.25267,121,14.944387
-34.639586,28,14.983713
-45.603065,61,15.068984
-37.401466,18,15.094435
-48.753045,46,15.158641
-142.416749,80,15.270231
-16.801698,12,15.287254
-95.324604,83,15.403802
-24.419763,22,15.43468
-36.121948,24,15.468426
-169.698449,127,15.645718
-13.395295,31,15.689056
-52.860966,49,15.757518
-21.413846,15,15.778582
-41.454119,29,15.819155
-177.90893,144,16.02037
-14.388856,31,16.064042
-30.153555,25,16.099261
-234.559059,172,16.339479
-8.036509,18,16.364833
-138.923319,142,16.56326
-111.269619,63,16.651391
-7.948673,21,16.680918
-17.254649,46,16.745266
-75.992454,45,16.808294
-35.194385,26,16.845193
-23.431567,47,16.911012
-80.697473,45,16.974286
-19.198364,21,17.003889
-49.297242,47,17.069718
-107.76739,141,17.267075
-41.181295,33,17.313408
-145.8926,132,17.498142
-7.773776,13,17.516475
-22.034907,41,17.573894
-18.7293,16,17.596913
-32.161858,36,17.647345
-90.307522,82,18.593166
-18.900859,17,18.617229
-43.664962,41,18.674743
-38.628477,76,18.780922
-36.111408,49,18.849304
-46.307569,26,18.885681
-31.590786,58,18.966841
-90.857965,47,19.032744
-40.276481,19,19.059355
-69.530408,54,19.134858
-16.072039,17,19.158675
-30.428594,24,19.192276
-8.726439,23,19.224715
-115.882874,102,19.367111
-63.318909,88,19.490329
-18.658296,18,19.515737
-38.034334,33,19.562204
9.628773,9,19.574922
-20.538356,18,19.600242
-30.696015,20,19.628255
-90.091389,81,19.741297
-974.96999,1000,21.15011
-17.481341,15,21.171343
-16.239879,24,21.205207
-8.134381,18,21.230679
-57.252633,44,21.292062
-16.786439,29,21.332729
-16.575663,12,21.349654
-43.170735,55,21.426416
-30.543045,26,22.283798
-11.234994,20,22.312344
-43.180113,54,22.387931
-27.744419,33,22.434265
-39.822341,29,22.475199
-14.426343,13,22.493452
-28.501407,50,22.564023
-59.757948,31,22.607356
3.284988,24,22.640986
-16.071708,17,22.664838
-57.210904,46,22.72895
-24.906943,46,22.793151
-10.825128,50,22.863032
-155.689217,75,22.968072
-18.109393,22,22.998791
-83.869009,65,23.089778
-89.140718,59,23.172079
-64.196368,43,23.232365
0.533337,17,23.256294
-1027.307458,1000,24.668298
-19.11923,63,24.756744
8.417383,29,24.797321
-88.280936,60,24.881037
-53.111371,45,24.943938
-62.740495,87,25.066347
-51.812708,65,25.97563
-65.104089,35,26.025128
-20.570051,40,26.081408
-23.167329,51,26.152871
-74.718605,75,26.257968
-38.757362,53,26.331847
-62.878343,50,26.401424
-16.97752,11,26.41703
-36.829652,27,26.454858
-998.054174,1000,27.864782
-9.895942,11,27.880494
-53.97283,94,28.011898
-25.430431,17,28.035876
-944.652948,1000,30.268255
-19.766797,34,30.316031
-20.974616,24,30.349864
