#{"t_start": 1769362602.754358, "env_id": "CustomAnt-source-v5"}
r,l,t
-855.312863,1000,39.021517
-62.703365,71,39.12061
-12.351888,17,39.14452
-15.748022,18,39.170076
-78.561682,98,39.307688
-39.263293,95,39.440696
-9.780228,38,39.493968
-381.528997,344,39.97965
-28.026861,31,40.023359
-34.475694,39,40.078185
-9.406853,27,40.116137
-59.109879,61,40.201928
-48.237249,42,41.127791
-27.126491,17,41.152257
-37.226282,46,41.217237
-22.712658,21,41.246914
-10.281706,18,41.272512
-45.525635,81,41.386611
-42.691778,41,41.444173
-83.475921,43,41.504366
-59.479472,54,41.580162
-124.157192,82,41.695906
-196.414392,145,41.899082
-891.688572,1000,43.31127
-24.257431,21,43.341173
-114.872427,88,43.46393
-17.215609,16,43.486539
-33.944469,38,43.539696
-28.658295,73,43.641937
-32.876637,25,43.676994
-7.379376,23,43.709606
-60.188821,51,43.781146
-71.850866,94,43.913258
-99.151383,145,44.958005
-139.376156,100,45.098151
-18.872796,61,45.183482
-20.681472,14,45.203657
-21.329296,35,45.252728
-6.803732,12,45.269819
-129.700081,124,45.443897
-23.395255,23,45.47629
-34.898129,33,45.522666
-74.868969,97,45.658519
-75.162634,118,45.82448
-14.445722,47,45.891382
-16.647271,32,45.936377
-50.196404,69,46.033715
-29.791771,32,46.078844
-15.373678,12,46.095818
-976.154727,1000,47.507801
-54.618352,47,47.573879
-121.337273,115,47.734928
-68.371754,77,48.698764
-27.255331,21,48.728456
-95.540123,131,48.911511
-34.037729,49,48.980408
-0.767609,13,48.998866
-90.694246,180,49.24995
-21.198933,16,49.272567
-37.291391,22,49.303384
-124.346745,91,49.430695
-0.205584,61,49.516046
-77.371599,95,49.648439
-45.360737,29,49.689138
-30.935228,45,49.752917
-38.381648,61,49.838043
-19.611859,48,49.905636
-60.73092,36,49.956495
-15.450944,27,49.994351
-41.780969,55,50.071177
-48.269227,34,50.118759
-40.578691,64,50.208619
-109.181271,101,50.349551
-32.027543,30,50.391624
-75.040555,61,50.476885
-89.426418,86,50.596681
-24.294456,13,50.614952
-273.124142,290,51.024693
3.438496,47,51.090137
-41.560059,31,51.133698
-0.059025,38,51.186727
-71.377135,53,51.261006
-19.440114,21,51.290761
-929.421654,1000,53.542735
-22.811849,38,53.59642
-56.923656,96,53.730773
-40.641283,45,53.793771
-27.725473,13,53.812145
-78.969173,59,53.895069
-147.196896,103,54.039352
-72.514253,124,54.213094
-59.715954,40,54.269061
-44.196039,35,54.317993
-61.672343,75,54.422958
-144.432032,114,54.582346
-33.758981,22,54.61325
-15.442842,14,54.63314
-40.903465,26,54.669715
-64.66529,80,54.78172
-91.45848,64,54.870921
-116.130493,81,54.98468
-97.651059,47,55.050459
-19.03696,25,55.085623
-959.056697,1000,57.343068
-46.986948,75,57.448598
-19.861506,22,57.479433
-59.143296,42,57.53919
-54.641243,33,57.585871
-47.578098,25,57.620909
-15.069952,23,57.65337
-20.47077,14,57.673007
-132.049037,98,57.810767
3.055274,21,57.840425
-54.078754,50,57.91044
-44.371223,41,57.968318
-9.012524,11,57.983966
-6.954323,30,58.026245
-17.513653,18,58.051674
-44.673737,32,58.096438
-28.380168,27,58.134459
6.117881,18,58.159746
-29.970831,35,58.209046
-9.474772,61,58.29454
-13.504549,72,58.395174
-61.783798,56,58.47354
-75.831272,42,58.532508
-25.722808,52,58.605575
-33.094309,80,58.717565
-76.938278,85,58.836523
-30.291293,41,58.894094
-65.383458,83,59.851391
-5.456366,21,59.881143
-147.585527,117,60.047905
-48.463139,87,60.169274
-47.638264,53,60.244127
-66.539068,59,60.32664
-9.265761,21,60.356109
-1.38944,16,60.378705
-14.890913,25,60.413938
-2.277956,29,60.455262
-49.07965,40,60.511317
-179.771363,106,60.659753
-147.052773,102,60.802259
-771.723746,776,61.897941
-27.214008,15,61.919156
-888.788665,1000,64.181574
-33.504474,24,64.215797
-39.363835,39,64.270528
-854.171508,1000,65.680323
-83.600704,87,65.802838
-20.075235,16,65.82544
-14.340271,17,65.849327
-808.306021,1000,68.103884
-6.391334,44,68.16578
-4.608049,23,68.198492
-108.109586,89,68.323432
-50.320578,60,68.407387
-45.700089,79,68.517654
-11.744121,27,68.555468
-818.529334,1000,69.977638
-24.169673,42,70.03953
-21.596069,25,70.074816
-55.503081,28,70.114067
-42.52739,57,71.07024
-81.316673,66,71.162717
0.490462,54,71.23909
-46.170565,30,71.281267
-15.150136,15,71.302494
-16.399666,35,71.351406
-61.839128,53,71.425535
-12.820632,19,71.452223
-47.492554,36,71.50281
-3.793778,21,71.53232
-830.690219,1000,72.942806
-336.224468,386,73.486242
-41.010045,35,73.535294
-97.887316,93,73.665525
-48.167695,48,73.733051
-43.328984,36,73.783626
-17.945521,14,73.803508
