#{"t_start": 1769418506.2623384, "env_id": "CustomHopper-source-v0"}
r,l,t
45.583807,39,0.050165
5.28127,14,0.066961
5.509603,13,0.082417
4.180464,11,0.09546
6.499965,9,0.106261
4.758691,9,0.116728
6.869045,17,0.136872
36.931817,32,0.17497
4.841734,10,0.186612
3.638417,11,0.199731
4.618294,10,0.211513
113.57994,61,0.28368
2.512064,22,0.31004
78.865431,50,0.369726
6.132018,10,0.38152
4.530441,11,0.394584
33.566106,27,0.426481
-0.006639,23,0.453945
7.244349,24,0.482546
7.173087,10,0.494552
7.930988,11,0.507425
6.794259,11,0.520359
7.181852,20,0.544209
10.582708,20,0.568231
6.094301,14,0.584831
17.275871,17,0.60505
9.929958,14,0.621835
10.362614,14,0.638549
11.505646,14,0.655347
15.169348,17,0.675644
11.643411,17,0.695863
6.34234,14,0.712592
10.896084,14,0.729275
10.488524,25,0.758957
12.045274,18,0.780864
14.946323,38,0.826258
5.286059,10,0.838205
14.198672,15,0.855886
11.669057,16,0.874977
5.846635,12,0.889092
5.742664,9,0.899772
29.290455,25,0.929466
36.761542,28,0.962625
15.139701,23,0.990365
6.53177,16,1.009603
13.518952,22,1.035992
17.269585,17,1.056403
31.271835,25,1.086036
12.577531,16,1.104908
5.605868,12,1.119239
3.962724,14,1.135828
11.082333,21,1.160765
8.526427,15,1.178893
23.355203,22,1.204984
13.922748,20,1.228858
8.987483,13,1.244198
6.69305,11,1.257089
9.495147,12,1.271263
10.9775,17,1.291374
11.397715,14,1.307843
12.684745,23,1.335148
9.898647,13,1.350395
1.758781,11,1.363493
5.510815,12,1.378231
6.790358,11,1.391168
61.144159,42,1.4406
2.484359,20,1.464682
4.753068,10,1.47652
9.220342,18,1.497868
2.734172,12,1.512133
10.382724,13,1.527398
15.164916,18,1.548537
4.990069,14,1.565216
28.744622,28,1.598979
66.352465,43,1.650012
19.563176,19,1.672746
4.474076,8,1.682496
4.950973,10,1.694373
6.140691,10,1.705982
13.26101,25,1.735817
19.527851,27,1.768192
29.226696,32,1.806776
6.731505,26,1.837636
5.889676,12,1.85182
4.748754,16,1.870832
10.227342,17,1.891004
6.730964,14,1.907675
8.405873,13,1.922797
3.314698,19,1.945459
9.034704,21,1.970484
20.105082,20,1.994475
9.897952,26,2.025154
8.429841,16,2.04411
34.161003,29,2.078413
8.826201,14,2.094943
13.222007,27,2.127263
8.15925,11,2.140112
15.662104,18,2.161604
5.235639,12,2.176246
7.703247,14,2.19285
27.937711,25,2.222156
11.041931,14,2.238779
15.988809,30,2.274601
4.864847,11,2.287673
11.220888,27,2.31959
9.346705,21,2.344535
5.09926,10,2.356329
26.530991,25,2.386123
6.17568,10,2.397836
20.250048,20,2.421665
