#{"t_start": 1769420126.7046213, "env_id": "CustomHopper-source-v0"}
r,l,t
11.665058,16,0.022538
4.073817,9,0.032902
10.684932,24,0.061644
9.137519,12,0.076484
10.625329,18,0.097724
9.640862,17,0.117668
45.990215,55,0.182017
9.859376,14,0.198361
42.033851,37,0.241608
9.55659,19,0.264949
5.165876,9,0.275255
13.161843,17,0.295028
6.425532,10,0.306824
19.848677,27,0.33856
13.379698,15,0.35622
4.981866,9,0.366531
16.317599,33,0.404809
7.55423,12,0.418807
8.504966,18,0.440279
34.849678,45,0.493407
63.631829,45,0.546631
19.797157,18,0.56817
11.403332,25,0.598119
5.560508,18,0.619006
13.254336,19,0.641273
71.36725,44,0.694281
5.737769,15,0.711813
56.45148,33,0.750265
6.295741,13,0.76562
3.854492,14,0.782353
3.740095,8,0.791625
9.568068,17,0.811288
10.006755,16,0.830024
5.926991,21,0.854604
3.738133,7,0.862758
46.194789,32,0.900278
7.68533,12,0.914126
3.827587,12,0.928394
4.494827,18,0.950901
3.576153,12,0.964928
6.931849,13,0.979795
6.594041,11,0.992458
5.154476,9,1.002963
4.206337,19,1.025732
10.153173,23,1.052788
10.407254,15,1.070619
12.303813,21,1.095522
82.467111,51,1.154847
3.2634,28,1.187782
1.785894,14,1.204354
6.568773,16,1.223148
16.458567,27,1.255622
6.330079,12,1.269842
8.068092,10,1.281524
14.712391,21,1.305971
2.606958,10,1.317708
12.290387,19,1.339839
6.567416,12,1.353899
7.243711,12,1.367795
12.085776,17,1.387952
7.400867,12,1.401673
4.717861,9,1.412219
9.833263,24,1.440418
4.650442,11,1.453757
4.627484,8,1.463238
8.608314,14,1.48002
19.194523,21,1.504605
16.479739,31,1.541048
4.282814,9,1.551361
4.950912,18,1.572598
4.873655,10,1.584292
20.484745,31,1.621033
14.980857,22,1.646785
6.394247,14,1.663771
30.217399,22,1.689804
21.895196,20,1.713378
13.80103,18,1.735191
6.901352,12,1.749391
7.562821,12,1.763231
43.894419,44,1.814593
7.778833,13,1.829947
3.993455,9,1.840433
3.528132,13,1.855896
3.650442,9,1.866533
15.983534,18,1.887809
8.400206,15,1.906104
7.790659,19,1.928241
4.544398,17,1.948348
8.874059,11,1.961341
11.104107,22,1.987066
18.249065,20,2.01054
9.078921,16,2.029221
5.878571,14,2.045701
24.935443,32,2.083206
9.344578,15,2.100884
11.92053,14,2.117401
7.917423,12,2.131254
10.759737,13,2.146902
2.748083,12,2.161025
10.248127,14,2.177463
4.48399,19,2.199803
9.674998,26,2.230518
5.548095,10,2.24213
8.676525,15,2.260123
4.400186,8,2.269384
4.918131,10,2.280997
27.992529,26,2.311525
15.301011,25,2.34088
8.337219,25,2.369724
5.072687,15,2.387588
59.431163,48,3.240211
56.696577,37,3.283402
17.819558,28,3.316338
99.210245,52,3.377068
44.292228,32,3.414875
5.170163,9,3.425258
35.272194,36,3.468028
26.583529,34,3.508341
28.059685,40,3.55531
8.323128,11,3.568359
6.065005,9,3.579077
14.680872,17,3.598974
70.436404,50,3.657581
78.88892,52,3.718954
10.086005,14,3.735616
12.697314,16,3.754265
17.384277,20,3.777591
83.145434,50,3.836336
66.271724,38,3.880964
5.353253,10,3.892831
8.439183,11,3.905983
20.954812,19,3.928382
159.178757,76,4.01707
48.852549,34,4.057049
11.509096,17,4.077
15.260174,22,4.102878
12.902981,18,4.124081
5.93466,9,4.134694
17.656638,30,4.169849
8.089989,15,4.187427
20.592986,19,4.209763
12.325281,16,4.228516
18.394201,21,4.253121
70.850673,56,4.319006
25.779238,26,4.349581
4.842787,9,4.360085
5.640209,29,4.394504
78.476115,47,4.449734
15.962097,22,4.475693
3.458834,9,4.486394
32.850269,27,4.518179
26.752426,43,4.569075
11.218149,25,4.598618
34.898185,31,4.634938
8.84375,16,4.654033
8.856765,16,4.672945
22.663229,22,4.698579
14.184784,25,4.727976
17.774017,18,4.749088
33.368837,29,4.783073
19.851213,20,4.807999
117.683802,88,4.911801
18.944862,34,4.952465
28.793365,25,4.981694
7.272927,15,4.999875
10.715303,23,5.027405
53.146724,34,5.067769
8.357491,19,5.090176
3.880446,9,5.100983
27.786409,24,5.129288
20.97007,32,5.167029
33.038116,27,5.198902
7.7298,15,5.216389
15.992107,19,5.238647
41.847254,32,5.276109
18.114181,38,5.320676
7.619364,11,5.333558
5.587104,16,5.352483
19.627289,18,5.373631
8.361401,12,5.387816
10.457887,21,5.412635
12.475193,17,5.432644
17.087363,39,5.479984
20.900294,21,5.50462
4.451311,13,5.520325
65.973692,55,5.586896
31.055618,27,5.618633
7.344693,14,6.452144
109.352272,57,6.52047
16.977601,28,6.554441
5.496342,9,6.565195
21.486129,33,6.604834
9.605198,15,6.622683
15.175537,23,6.649888
14.912984,34,6.690111
77.29888,47,6.745154
8.281642,13,6.760274
31.871066,32,6.797732
7.748191,24,6.82644
9.440291,14,6.842836
16.822056,17,6.862899
79.849359,50,6.921499
3.440046,10,6.933288
16.560894,26,6.963459
77.713612,57,7.031304
55.855648,32,7.068905
62.096886,46,7.124057
5.350676,23,7.151011
2.84278,7,7.159229
57.798302,34,7.199841
32.11064,46,7.253909
31.02126,24,7.282225
6.680194,19,7.304546
117.822218,62,7.377878
109.332642,59,7.448099
74.038968,42,7.497484
90.035639,50,7.555776
91.80561,47,7.61045
7.596506,11,7.623331
10.698994,16,7.642478
30.444145,26,7.673269
17.740564,17,7.693594
17.003116,16,7.71248
74.13817,55,7.77701
89.372968,52,7.837759
56.361601,57,7.906026
9.40422,20,7.929451
67.606235,39,7.975601
67.668903,43,8.02514
65.944576,39,8.07091
2.7655,21,8.095837
9.78573,12,8.109879
214.613893,95,8.221058
9.443909,13,8.236134
66.847694,39,8.281678
157.655677,94,8.39052
67.724568,50,8.44967
139.488222,95,8.561349
72.45611,42,8.611431
60.282107,38,8.656046
8.313313,19,8.679276
17.491972,20,8.702884
122.108983,84,8.800777
215.861034,105,9.746314
41.623455,31,9.782917
27.952661,22,9.809595
157.081582,72,9.897082
114.009772,63,9.973351
41.986109,38,10.019218
14.313784,17,10.040863
101.238814,72,10.127743
126.158553,63,10.204688
16.619431,19,10.22762
112.537854,58,10.298467
100.37305,57,10.368041
14.351871,17,10.389103
97.834368,53,10.45584
105.773276,57,10.524069
36.35214,34,10.565441
51.751681,30,10.601544
121.194683,63,10.676971
117.178201,69,10.761332
136.439879,77,10.854738
62.701929,37,10.900656
84.466921,49,10.960168
51.043467,29,10.995547
64.863073,45,11.051094
93.310837,52,11.113497
67.633866,39,11.161723
4.824125,9,11.172514
29.744274,27,11.20501
23.346157,28,11.23898
54.518255,32,11.277785
100.936751,59,11.348672
13.921475,24,11.378572
5.268365,8,11.38848
58.4665,41,11.439031
102.704734,59,11.510175
94.428387,51,11.573957
87.772979,48,11.634337
12.00239,16,11.65482
68.769086,42,11.706119
118.936941,64,11.785089
26.270119,24,11.814471
26.535439,24,11.84352
8.60486,16,11.863025
65.74762,36,11.906054
147.161298,84,12.007809
59.942042,37,12.053818
101.286654,62,12.128998
130.473679,88,13.047431
115.151764,60,13.119005
73.54068,47,13.176352
144.664645,75,13.267312
117.206276,60,13.338626
221.175599,99,13.457119
54.921504,33,13.496629
100.268986,56,13.563736
216.522214,97,13.681554
212.971442,117,13.822941
24.108687,19,13.845943
94.616996,51,13.907401
186.417546,84,14.009238
182.386789,91,14.117752
18.140843,17,14.138813
172.002106,86,14.240865
177.760138,101,14.360542
92.934702,51,14.421106
62.868705,36,14.46339
107.416067,67,14.542943
228.034237,105,14.666964
119.734155,63,14.741039
65.52956,39,14.786751
67.480863,39,14.834443
217.730456,101,14.955078
119.109337,62,15.029025
85.827804,45,15.081705
63.474319,38,15.126457
235.641568,106,15.249661
211.999694,98,15.365174
64.569703,38,15.410304
107.309445,62,16.298127
214.444894,95,16.413045
71.392184,40,16.461081
160.988141,78,16.554058
171.932909,82,16.654729
56.028986,42,16.706505
154.849534,73,16.805125
214.715219,94,16.926499
126.26398,96,17.043515
102.303101,56,17.111842
48.431106,33,17.151582
132.655717,69,17.235566
229.987379,100,17.357677
220.515343,104,17.4837
117.272166,62,17.559232
191.995285,90,17.669016
226.146268,103,17.794048
79.806609,46,17.848557
192.010681,87,17.949821
71.927027,41,17.997823
224.708079,97,18.110528
135.716744,71,18.193814
67.011308,38,18.237968
21.133183,19,18.260348
234.252798,108,18.386675
20.344843,20,18.410437
18.045791,23,18.437667
144.658394,79,18.530673
20.078243,17,18.551216
38.780357,32,18.590536
205.78582,117,19.549227
84.404568,48,19.607457
79.725439,45,19.661437
142.032558,71,19.74713
227.102513,108,19.876958
217.965548,99,19.995716
119.436429,62,20.070219
228.849342,104,20.194403
73.387945,42,20.244335
126.770322,75,20.333994
140.206159,66,20.414001
103.06897,55,20.480983
224.9948,103,20.60549
87.40628,49,20.664284
79.714611,45,20.718811
207.975671,96,20.834733
75.93038,47,20.891714
200.459246,96,21.007635
66.665182,41,21.056449
69.40133,39,21.103648
257.02714,113,21.239947
65.142663,36,21.283232
209.270752,94,21.396214
66.137535,37,21.440981
194.918799,89,21.550723
58.245018,34,21.594004
21.509779,20,21.619511
188.391819,85,21.728652
28.345062,27,21.762246
119.458609,66,21.842168
94.259474,50,21.902785
74.241478,42,21.95339
218.283071,97,22.870114
126.187337,71,22.955188
69.260281,40,23.002906
220.496259,96,23.117149
203.651601,89,23.222722
152.01824,81,23.318464
203.833718,96,23.432727
84.93894,52,23.495196
144.192715,75,23.585032
231.555896,108,23.715075
221.409701,96,23.830599
105.205648,57,23.898821
209.069104,92,24.009057
41.310258,24,24.03792
232.959317,112,24.171511
84.563355,47,24.227495
188.844539,89,24.333364
230.272103,115,24.470137
