#{"t_start": 1769422581.9753437, "env_id": "CustomHopper-source-v0"}
r,l,t
41.592574,36,0.046998
4.852981,14,0.063767
8.097895,16,0.082721
4.247393,11,0.095864
6.476391,9,0.106753
3.888514,8,0.116113
9.168904,19,0.138854
33.455261,30,0.17442
5.078192,10,0.186087
2.329907,8,0.195683
3.45063,11,0.208688
77.439329,44,0.261307
3.886266,8,0.270909
39.130796,40,0.319292
94.877165,60,0.39173
30.458359,24,0.420152
2.510075,11,0.43332
3.220143,31,0.470416
10.850143,15,0.487949
5.677449,9,0.498665
18.720251,19,0.52145
5.249995,21,0.546628
10.734189,25,0.57749
3.684824,12,0.592184
14.04746,16,0.611415
16.619941,19,0.63415
7.227522,11,0.647359
5.188678,10,0.659342
14.062337,19,0.682085
8.469472,16,0.701172
6.509597,14,0.71786
10.601494,14,0.73462
11.008128,27,0.766937
8.489955,15,0.786027
26.303536,42,0.836031
6.288801,11,0.849039
8.532547,11,0.862066
11.49032,16,0.881248
7.17383,13,0.896642
4.273324,8,0.906255
21.425669,20,0.930075
37.549942,33,0.969335
15.275343,23,0.996786
5.534188,15,1.01486
9.48381,19,1.037574
51.223815,33,1.076798
9.419698,14,1.093468
11.514685,15,1.111252
5.58208,11,1.124426
4.432666,13,1.139957
9.340836,30,1.175514
9.275395,15,1.193395
7.635047,10,1.205538
2.467301,9,1.216428
17.52448,17,1.236702
17.928504,21,1.261751
10.523967,13,1.277188
12.611418,16,1.296465
6.871001,10,1.308475
7.821538,16,1.327419
9.095351,15,1.34523
7.899815,11,1.35891
1.645392,11,1.372203
5.55396,12,1.386723
6.813089,11,1.399775
58.395132,41,1.448291
1.105406,20,1.472238
3.137658,10,1.484237
10.692838,19,1.506907
2.548589,12,1.521323
10.343877,13,1.536772
15.110673,18,1.558058
5.001705,14,1.574943
28.62346,28,1.608967
67.131402,43,1.659929
19.527367,19,1.682481
4.454663,8,1.692092
5.004086,10,1.703991
6.140076,10,1.715698
13.626342,25,1.745679
19.444443,27,1.777793
30.463347,33,1.817419
5.761281,11,1.830492
7.191323,18,1.852023
6.50417,14,1.868634
25.613457,31,1.905846
4.382724,10,1.917808
8.380066,13,1.932987
3.332284,19,1.955683
9.513347,21,1.980593
19.977341,20,2.004546
9.114682,26,2.035166
8.326368,16,2.054198
32.355775,28,2.08726
11.70357,15,2.105094
12.882754,27,2.137514
8.16418,11,2.150445
15.681055,18,2.172035
5.258498,12,2.186478
7.659022,14,2.203194
28.223719,25,2.232567
11.068561,14,2.249385
15.900622,30,2.28559
4.959828,11,2.298688
11.717202,27,2.33082
9.476188,21,2.356142
5.088728,10,2.368456
26.223832,25,2.398377
6.202859,10,2.410105
20.043635,20,2.433942
10.487899,12,2.448193
15.029871,21,3.293761
7.37343,14,3.310359
23.488913,27,3.342198
5.35443,15,3.360561
5.462288,12,3.374744
18.387189,19,3.397051
16.338009,18,3.418125
21.723376,21,3.442889
7.196291,13,3.458112
48.0869,37,3.501604
13.845135,17,3.521553
134.152307,70,3.603554
14.387074,17,3.623736
8.903777,18,3.645008
9.761436,12,3.659091
16.256888,33,3.697859
10.680521,13,3.713095
24.718418,25,3.742403
17.401429,26,3.772964
11.598602,13,3.788121
18.383375,20,3.811458
57.290124,45,3.86416
79.809845,47,3.919295
81.889709,71,4.002268
14.06266,18,4.02344
7.43788,13,4.038484
25.958397,33,4.077187
148.727608,77,4.167308
29.946225,30,4.202609
7.535689,11,4.215464
4.285659,12,4.229511
12.17383,15,4.247276
12.478154,20,4.270455
10.804455,18,4.291708
8.23116,13,4.307349
32.073418,29,4.341041
16.664185,29,4.375709
10.913219,15,4.393201
16.077862,19,4.415438
67.755675,39,4.460856
8.607562,12,4.474826
11.359274,27,4.506791
22.792117,20,4.530179
9.346159,19,4.552544
48.243128,46,4.606891
7.003634,30,4.642015
4.329191,8,4.651386
12.382628,14,4.667831
15.587374,24,4.696099
18.150764,20,4.719343
8.447444,18,4.740283
1.984733,16,4.759212
19.557854,23,4.786106
58.379834,35,4.826874
11.007798,13,4.842211
65.215667,43,4.892236
11.816067,15,4.909899
64.452028,53,4.971838
14.001096,16,4.990551
5.656459,8,5.000173
9.761004,17,5.020075
3.069693,14,5.036678
68.707459,40,5.083112
18.604357,32,5.120413
6.8992,14,5.136881
3.490425,24,5.164887
31.835674,44,5.216278
38.922386,37,5.260102
18.74853,20,5.2837
46.606465,43,5.334039
18.684348,18,5.355282
4.407402,12,5.369695
24.839179,22,5.395675
8.147033,11,5.408557
14.562385,18,5.429755
9.520491,19,5.452325
95.090007,68,5.532043
40.398953,48,5.588812
80.523196,56,5.654309
5.150233,14,5.670887
125.314334,73,6.591864
3.177221,19,6.614798
76.950922,45,6.66898
78.054167,45,6.722286
98.490339,65,6.799803
8.467984,16,6.819058
105.612581,58,6.887582
88.823302,50,6.947032
43.007087,34,6.987309
5.210103,10,6.999248
26.095468,25,7.029058
119.893654,65,7.106051
54.512506,38,7.150876
74.482511,42,7.201075
54.084786,43,7.252611
25.428226,23,7.280319
22.935471,35,7.322649
29.163442,36,7.366289
18.907995,17,7.387158
86.13166,52,7.449052
9.468447,14,7.465573
37.392935,29,7.500192
50.490832,48,7.557494
8.798213,14,7.57439
121.148225,61,7.647509
15.061869,18,7.669139
45.710167,34,7.709737
6.8653,10,7.72187
79.962618,45,7.77521
5.501605,11,7.788352
71.948346,51,7.849174
40.909567,54,7.913774
59.28289,53,7.976917
56.116111,40,8.024589
8.917461,18,8.045832
7.260072,10,8.057794
103.94101,63,8.1328
164.176872,121,8.277291
12.974767,17,8.297848
72.192315,42,8.347831
21.455883,19,8.371114
11.631178,18,8.393126
161.575169,104,8.517385
97.962175,68,8.59852
17.752397,21,8.623621
78.018832,53,8.686865
8.445492,20,8.710698
13.02219,17,8.730984
74.279851,48,8.787829
161.134809,82,8.884236
196.329411,103,9.851273
109.049669,61,9.924084
25.710301,34,9.964979
14.845402,19,9.987675
115.916984,59,10.058075
96.005186,59,10.128721
11.096837,29,10.163027
31.363554,25,10.192906
65.843555,39,10.239645
143.755595,83,10.339356
199.340598,97,10.454872
140.734999,66,10.533351
32.400827,31,10.570665
125.158072,68,10.652238
155.514738,103,10.775007
66.676454,39,10.822421
78.357944,51,10.883037
108.925063,66,10.961544
89.961413,52,11.022981
48.582349,34,11.063681
76.743317,45,11.117256
58.003206,35,11.159272
107.968378,57,11.227093
15.589694,16,11.246704
36.125243,30,11.282678
83.569213,57,11.350828
67.569105,61,11.424199
136.434727,72,11.508809
11.265375,18,11.53047
27.461636,25,11.560515
74.276636,47,11.618456
154.434367,76,11.70871
57.098266,57,11.776712
82.783305,45,11.831504
142.385242,76,11.922171
75.092586,44,11.97458
11.347887,16,11.993711
88.683205,47,12.04934
9.448434,15,12.067404
66.080038,39,12.113873
21.623193,24,12.142483
104.458578,58,12.210988
19.328691,21,12.235958
140.240355,68,13.168793
211.818947,138,13.333963
109.510452,66,13.413697
81.751877,50,13.473078
65.858257,42,13.523366
56.918978,34,13.564162
220.373146,102,13.686033
199.273816,86,13.788187
78.899709,46,13.842884
216.529458,97,13.957446
148.638451,83,14.056002
123.009774,70,14.13966
72.462797,41,14.188878
55.290657,33,14.228261
64.503064,42,14.278889
110.612785,61,14.351468
163.495602,78,14.444223
76.647683,44,14.496919
157.408704,77,14.588928
56.283643,38,14.634076
118.841686,60,14.705445
96.200649,52,14.767683
204.776362,88,14.872695
160.602671,79,14.966069
16.952357,21,14.991094
254.993758,125,15.139848
43.790851,36,15.182928
70.231014,41,15.231919
94.62297,50,15.292509
75.004021,45,15.345787
159.402044,75,15.454257
81.690933,45,15.508232
141.195326,66,16.458989
227.722987,101,16.579731
81.825119,48,16.637422
59.372941,35,16.679294
115.894326,59,16.749797
87.609836,51,16.810955
236.747779,115,16.94737
168.916053,80,17.042992
13.032088,15,17.061053
73.771785,42,17.110956
256.157177,111,17.241988
30.329701,23,17.269701
154.697606,72,17.356096
216.048366,102,17.478698
120.992073,64,17.553806
130.335423,68,17.635309
165.74775,76,17.725538
95.834033,65,17.801903
138.224796,74,17.890823
131.330986,77,17.98267
170.44674,79,18.076474
157.932708,80,18.171673
212.540896,96,18.286655
91.512276,50,18.346957
117.903687,60,18.419348
100.529073,57,18.486672
163.998528,78,18.578799
213.515456,95,18.691954
87.822401,48,18.749055
213.450617,96,18.862965
114.52865,60,19.779658
87.138911,48,19.837901
134.762102,69,19.920508
101.313748,55,19.986272
