#{"t_start": 1769368327.5939093, "env_id": "CustomAnt-source-v5"}
r,l,t
-83.004225,109,0.155342
-114.787705,71,0.254057
-11.487903,23,0.286319
-5.961778,23,0.318595
-55.369598,73,0.420299
-31.003879,21,0.449698
-99.484633,80,0.56089
-113.673203,93,0.690276
-84.128188,55,0.766847
-31.727212,20,0.794979
-47.083112,40,0.850691
-92.592314,64,0.940135
-55.430437,50,1.010029
-1119.592935,1000,2.413832
-58.548072,56,2.492152
-4.398236,12,2.509252
-57.866487,43,2.56908
-21.72557,17,2.592796
-37.149433,37,2.644511
-47.661782,33,2.690566
-33.31776,21,2.720172
-20.119781,27,2.758194
-69.466038,43,2.818364
-40.003665,40,3.674604
-95.896682,52,3.747883
-31.275226,47,3.81343
-183.503466,86,3.933201
-26.279356,39,3.987595
-124.30621,107,4.136137
-106.879029,107,4.285179
-199.820849,119,4.45108
-15.646511,27,4.4887
-23.353826,19,4.515469
-36.168644,23,4.547689
-45.181179,30,4.589511
-81.332465,88,4.712317
-91.919443,54,4.787878
-130.524081,70,4.885759
-15.408152,29,4.926501
-30.595484,23,4.958724
-39.452197,70,5.056178
-45.485767,60,5.139732
-3.096666,13,5.158027
-13.899451,24,5.191563
-60.43046,44,5.252993
-152.785913,87,5.374539
-33.718235,42,5.433671
-37.699092,33,5.479791
-30.03682,33,5.526554
-49.327006,34,5.574034
-11.134296,30,5.617663
-110.247234,124,5.792155
-67.254098,49,5.861209
-15.179051,14,5.880876
-32.352581,79,5.992023
-4.774686,52,6.064587
-50.141217,23,6.096746
-27.018409,25,6.132007
-19.948742,11,6.147568
-63.791754,67,6.240801
-1001.054231,1000,8.446887
-49.941065,41,8.50455
-64.19671,56,8.582752
-42.93649,22,8.613542
-17.513421,51,8.684736
-30.49443,30,8.726823
-27.280057,16,8.749183
-36.613541,40,8.804994
-29.656329,25,8.83999
-76.352124,60,8.924347
-25.378426,34,8.971922
-56.206798,54,9.047178
-26.881581,14,9.067373
-46.91621,95,9.200324
-42.663215,37,9.25186
-60.412351,89,9.375973
-21.435269,17,9.399987
-36.161276,29,9.44052
-57.26572,34,9.488055
-18.070616,22,9.519055
-35.656468,24,9.552522
-87.896453,103,9.695748
-34.43255,46,9.760397
-31.767076,22,9.791211
-31.43478,14,9.811268
-103.426542,60,9.894872
-105.690881,66,9.986905
-58.431976,66,10.079102
-5.124417,20,10.10708
-89.958698,126,11.085603
-39.262822,27,11.123512
-31.866207,32,11.168553
-99.593772,85,11.287819
-45.621276,21,11.317389
-26.21161,60,11.400936
-19.555199,26,11.437302
-55.796312,62,11.523768
-114.040883,69,11.619898
-13.657216,76,11.725925
-158.946745,136,11.914995
-38.215209,18,11.940318
-40.52801,31,11.983589
-66.33739,100,12.122808
-114.922294,77,12.230237
-129.631181,75,12.334743
-39.601571,43,12.394717
-46.234409,43,12.454806
-25.821006,14,12.474366
-12.827499,34,12.521943
-27.864833,37,12.573515
-35.26516,41,12.630604
-63.277928,48,12.697551
-22.617683,32,12.742362
-29.115085,26,12.778809
-114.600337,140,12.974072
-26.992105,47,13.039797
-9.544768,12,13.056726
-14.316886,16,13.079204
-15.529709,14,13.098855
-111.802674,116,13.260581
-14.908757,43,13.320608
-24.276232,19,13.347132
-89.307937,62,13.433513
-48.283474,82,13.547881
-0.164298,52,13.620541
-58.193062,37,13.672075
-95.009817,102,13.814572
-27.631097,67,14.710116
-26.059507,31,14.754001
-45.582608,83,14.870029
-61.16043,26,14.906327
-10.153188,52,14.979089
-57.489876,59,15.061541
-29.646022,24,15.095207
-43.113366,41,15.152684
-65.552722,86,15.272516
-79.883975,67,15.366376
-599.266406,500,16.069028
-12.503143,18,16.094213
-43.511185,49,16.163039
-39.330041,60,16.246534
-23.026876,40,16.302389
-47.381457,26,16.338871
-96.52447,82,16.453044
-30.081714,28,16.492287
-176.549034,148,16.69877
-41.765776,26,16.735257
-17.902065,12,16.752166
-241.729652,233,17.076357
-169.428033,99,17.214955
-109.818079,63,17.30268
-1022.87986,1000,19.510158
-24.415894,25,19.54573
-7.322246,28,19.584849
-10.785505,16,19.607343
-53.051009,75,19.712044
-16.325086,31,19.755738
-5.095441,16,19.77818
-39.724872,20,19.806289
-42.637467,26,19.84268
-50.958075,59,19.925149
-93.92574,79,20.035116
-48.901113,38,20.088012
-16.742521,21,20.117509
-18.120071,15,20.138776
-22.565639,22,20.169617
-46.418049,25,20.20454
-66.590588,65,20.294968
-63.800763,67,20.388593
-37.068868,40,20.444272
-96.371736,83,20.559716
-39.443479,51,20.630501
-111.282591,180,20.881023
-19.746909,17,20.904987
-10.199925,30,20.947253
-125.994448,62,21.033457
-13.344916,14,21.05323
-133.877369,132,22.041994
-46.799407,57,22.121407
-25.625073,23,22.153895
-22.775245,26,22.190537
-30.687479,66,22.28261
-7.664614,13,22.300907
-25.242753,38,22.353933
-118.161832,94,22.485198
-14.442611,14,22.504931
-88.478392,79,22.615233
-24.712523,27,22.652967
-35.688947,43,22.712859
-29.122295,23,22.745295
-17.084295,14,22.764994
-122.365275,102,22.907189
-14.462281,34,22.955016
-1.15448,25,22.989899
-49.01166,58,23.071109
-201.468745,175,23.315016
-45.45433,29,23.355814
